"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
2359,11.538,857.67773,"SM 42:2;O2|SM 23:1;O2/19:1","SM",2.18869367842889
2350,10.044,856.6073,"PC 38:3|PC 18:0_20:3","PC",1.85218176495483
2805,8.697,1173.76123,"RIKEN N-VS1 ID-8768 from Mouse_Macrophage_WT_N_F1","Unknown",1.64561676992748
2234,9.215,828.57666,"PC 36:3|PC 16:0_20:3","PC",1.6205233802552
2215,8.648,824.54474,"PC 36:5|PC 16:0_20:5","PC",1.41312217639217
2450,9.577,878.59381,"PC 40:6|PC 18:0_22:6","PC",1.20458186250055
1332,5.794,564.33087,"LPC 18:2","LPC",1.20074209742612
2341,9.695,854.59216,"PC 38:4|PC 18:0_20:4","PC",1.19222328734611
2235,9.072,828.5769,"PC 36:3|PC 18:1_18:2","PC",1.16587852805016
2333,9.044,852.57654,"PC 38:5|PC 16:0_22:5","PC",1.16074392179466
2220,8.968,826.56213,"PC 36:4|PC 16:0_20:4","PC",1.138369069941
2417,9.016,870.54877,"low score: SHexCer 40:5;O3","SHexCer",1.12029739722625
816,7.792,432.36115,"Unknown","null",1.11829559196167
1911,9.507,744.55469,"LPE-N (FA)36:1|LPE-N (FA 18:0)18:1","LNAPE",1.11343499990184
380,3.063,255.03784,"Unknown","null",1.02862784529916
806,3.063,429.05234,"Unknown","null",0.939988001155299
2464,8.984,885.55133,"PI 38:4|PI 18:0_20:4","PI",0.9370479024928
1719,8.773,687.54382,"RIKEN N-VS1 ID-4212 from Mouse_Macrophage_WT_N_F1AA","Unknown",0.904383817706308
1345,6.757,568.3623,"LPC 18:0","LPC",0.890361951526575
1923,8.773,747.56525,"SM 34:1;O2|SM 18:1;O2/16:0","SM",0.881762683321708
1337,6.234,566.34595,"LPC 18:1","LPC",0.868824860121467
2149,9.015,803.56415,"RIKEN N-VS1 ID-6083 from Mouse_Plasma_ApoEKO_N_F1EPA","Unknown",0.848513349592618
2145,9.015,802.56122,"PC 34:2|PC 16:0_18:2","PC",0.838758259403073
2151,9.508,804.5766,"PC 34:1|PC 16:0_18:1","PC",0.838203203016691
2402,13.62,862.68762,"low score: PE O-46:5|PE O-28:4_18:1","EtherPE",0.814737150579711
1905,9.015,742.53949,"LPE-N (FA)36:2|LPE-N (FA 18:0)18:2","LNAPE",0.811751533738983
1346,6.626,568.36322,"LPC 18:0","LPC",0.809635696164674
2219,8.668,826.56122,"PC 36:4|PC 18:2_18:2","PC",0.76280361072437
2328,8.883,850.56323,"PC 38:6|PC 16:0_22:6","PC",0.755768660412595
412,1.327,269.0535,"Apigenin","Others",0.683725575107992
2245,9.756,830.59253,"PC 36:2|PC 18:0_18:2","PC",0.673858773362723
432,6.532,279.23248,"FA 18:2","FA",0.623424345584741
1739,13.242,694.63611,"Cer 42:1;O2|Cer 18:1;O2/24:0","Cer_NS",0.610413131779541
438,6.974,281.24823,"FA 18:1","FA",0.516793440856061
214,9.016,187.94093,"Unknown","null",0.502230496281104
980,6.127,480.3096,"low score: GPNAE 18:0","GPNAE",0.478324453066454
2003,9.757,770.57147,"DMPE 36:2|DMPE 18:0_18:2","DMPE",0.431076375361234
1244,5.982,540.32971,"LPC 16:0","LPC",0.402384915016578
1245,6.127,540.33087,"LPC 16:0","LPC",0.397238828035582
846,8.001,446.37576,"low score: Cer 28:4;O2|Cer 13:0;O2/15:4","Cer_NDS",0.342430274225204
2370,12.994,859.69147,"SM 42:1;O2|SM 18:1;O2/24:0","SM",0.253201265949953
1916,8.352,745.5506,"SM 34:2;O2|SM 18:1;O2/16:1","SM",0.219003274054385
