"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
806,3.063,429.05234,"Unknown","null",2.34342171899873
380,3.063,255.03784,"Unknown","null",2.17389580389336
2350,10.044,856.6073,"PC 38:3|PC 18:0_20:3","PC",2.15995428583905
2359,11.538,857.67773,"SM 42:2;O2|SM 23:1;O2/19:1","SM",1.85623742944991
1332,5.794,564.33087,"LPC 18:2","LPC",1.7002176233249
2234,9.215,828.57666,"PC 36:3|PC 16:0_20:3","PC",1.5875114334901
2417,9.016,870.54877,"low score: SHexCer 40:5;O3","SHexCer",1.27041503404629
2215,8.648,824.54474,"PC 36:5|PC 16:0_20:5","PC",1.18921218858236
2235,9.072,828.5769,"PC 36:3|PC 18:1_18:2","PC",1.01382152866358
432,6.532,279.23248,"FA 18:2","FA",0.988895528810285
2219,8.668,826.56122,"PC 36:4|PC 18:2_18:2","PC",0.955636340765617
214,9.016,187.94093,"Unknown","null",0.910499596642046
412,1.327,269.0535,"Apigenin","Others",0.880314989730299
2464,8.984,885.55133,"PI 38:4|PI 18:0_20:4","PI",0.857770115412851
1923,8.773,747.56525,"SM 34:1;O2|SM 18:1;O2/16:0","SM",0.820681240980584
2805,8.697,1173.76123,"RIKEN N-VS1 ID-8768 from Mouse_Macrophage_WT_N_F1","Unknown",0.819930016844408
2149,9.015,803.56415,"RIKEN N-VS1 ID-6083 from Mouse_Plasma_ApoEKO_N_F1EPA","Unknown",0.8040348750784
1719,8.773,687.54382,"RIKEN N-VS1 ID-4212 from Mouse_Macrophage_WT_N_F1AA","Unknown",0.793226954077079
2341,9.695,854.59216,"PC 38:4|PC 18:0_20:4","PC",0.778285177407281
2333,9.044,852.57654,"PC 38:5|PC 16:0_22:5","PC",0.759045181011538
1905,9.015,742.53949,"LPE-N (FA)36:2|LPE-N (FA 18:0)18:2","LNAPE",0.754784620139813
2145,9.015,802.56122,"PC 34:2|PC 16:0_18:2","PC",0.749897142690343
2220,8.968,826.56213,"PC 36:4|PC 16:0_20:4","PC",0.745527199602446
2245,9.756,830.59253,"PC 36:2|PC 18:0_18:2","PC",0.652534379020419
2151,9.508,804.5766,"PC 34:1|PC 16:0_18:1","PC",0.641733280231444
1911,9.507,744.55469,"LPE-N (FA)36:1|LPE-N (FA 18:0)18:1","LNAPE",0.633014208445997
2402,13.62,862.68762,"low score: PE O-46:5|PE O-28:4_18:1","EtherPE",0.622106905189468
1337,6.234,566.34595,"LPC 18:1","LPC",0.610333016332679
816,7.792,432.36115,"Unknown","null",0.609120865013698
1345,6.757,568.3623,"LPC 18:0","LPC",0.567228941333928
1346,6.626,568.36322,"LPC 18:0","LPC",0.553365045149803
2370,12.994,859.69147,"SM 42:1;O2|SM 18:1;O2/24:0","SM",0.513318057953096
2003,9.757,770.57147,"DMPE 36:2|DMPE 18:0_18:2","DMPE",0.491413514086363
438,6.974,281.24823,"FA 18:1","FA",0.469895642257897
1916,8.352,745.5506,"SM 34:2;O2|SM 18:1;O2/16:1","SM",0.422777687649164
846,8.001,446.37576,"low score: Cer 28:4;O2|Cer 13:0;O2/15:4","Cer_NDS",0.420341306804914
2450,9.577,878.59381,"PC 40:6|PC 18:0_22:6","PC",0.406291829278199
1739,13.242,694.63611,"Cer 42:1;O2|Cer 18:1;O2/24:0","Cer_NS",0.303677524832387
1244,5.982,540.32971,"LPC 16:0","LPC",0.233434132873007
980,6.127,480.3096,"low score: GPNAE 18:0","GPNAE",0.204973368338316
2328,8.883,850.56323,"PC 38:6|PC 16:0_22:6","PC",0.178647184678134
1245,6.127,540.33087,"LPC 16:0","LPC",0.136784223501487
