"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
214,9.016,187.94093,"Unknown","null",0.891731988423636,-0.165317924059954,0.12939469838824,0.280190544458214,0.910499596642046
380,3.063,255.03784,"Unknown","null",1.20548911048749,0.269618618740811,0.736666875648719,0.808580546252207,2.17389580389336
412,1.327,269.0535,"Apigenin","Others",0.85630741971291,-0.223799268735463,0.223490541195935,0.400863874892977,0.880314989730299
432,6.532,279.23248,"FA 18:2","FA",0.832827159000971,-0.263910978318798,0.166638288374382,0.333276576748765,0.988895528810285
438,6.974,281.24823,"FA 18:1","FA",0.92946979878197,-0.105520106402476,0.437855148190393,0.574684881999891,0.469895642257897
806,3.063,429.05234,"Unknown","null",2.08904971681364,1.06284682718098,0.308444519277017,0.462666778915525,2.34342171899873
816,7.792,432.36115,"Unknown","null",1.09658628864118,0.133019339869866,0.241613656669097,0.405910943204083,0.609120865013698
846,8.001,446.37576,"low score: Cer 28:4;O2|Cer 13:0;O2/15:4","Cer_NDS",1.00558035651254,0.00802837285162994,0.888247033662065,0.9099115954587,0.420341306804914
980,6.127,480.3096,"low score: GPNAE 18:0","GPNAE",0.978262791072817,-0.0317060259773143,0.703982016265793,0.799114721166576,0.204973368338316
1244,5.982,540.32971,"LPC 16:0","LPC",0.976039717051165,-0.0349882396945702,0.6886602866857,0.799114721166576,0.233434132873007
1245,6.127,540.33087,"LPC 16:0","LPC",0.984018728531403,-0.0232423206823498,0.764285886832772,0.808580546252207,0.136784223501487
1332,5.794,564.33087,"LPC 18:2","LPC",0.789657324958551,-0.340701369237596,5.61169412676939e-05,0.000693496324456864,1.7002176233249
1337,6.234,566.34595,"LPC 18:1","LPC",0.933789121033023,-0.0988313141067181,0.279165091692145,0.434256809298892,0.610333016332679
1345,6.757,568.3623,"LPC 18:0","LPC",1.05304056176334,0.0745610081848831,0.423070711608036,0.573192577017339,0.567228941333928
1346,6.626,568.36322,"LPC 18:0","LPC",1.06169100572197,0.0863639456366183,0.395166294645414,0.553232812503579,0.553365045149803
1719,8.773,687.54382,"RIKEN N-VS1 ID-4212 from Mouse_Macrophage_WT_N_F1AA","Unknown",0.926791752508496,-0.109682889126617,0.00941053326538329,0.0395242397146098,0.793226954077079
1739,13.242,694.63611,"Cer 42:1;O2|Cer 18:1;O2/24:0","Cer_NS",1.01518896337767,0.0217482901241546,0.770076710716388,0.808580546252207,0.303677524832387
1905,9.015,742.53949,"LPE-N (FA)36:2|LPE-N (FA 18:0)18:2","LNAPE",0.934188862812174,-0.0982138491299267,0.0190856365451658,0.0616612872997663,0.754784620139813
1911,9.507,744.55469,"LPE-N (FA)36:1|LPE-N (FA 18:0)18:1","LNAPE",1.04858757240893,0.0684473526164808,0.229065071367415,0.400863874892977,0.633014208445997
1916,8.352,745.5506,"SM 34:2;O2|SM 18:1;O2/16:1","SM",0.964425378423705,-0.0522584795708454,0.129610103706036,0.280190544458214,0.422777687649164
1923,8.773,747.56525,"SM 34:1;O2|SM 18:1;O2/16:0","SM",0.924957194110007,-0.112541493879153,0.00362625354428011,0.0190378311074706,0.820681240980584
2003,9.757,770.57147,"DMPE 36:2|DMPE 18:0_18:2","DMPE",0.986103137449552,-0.0201895475687834,0.695388167381819,0.799114721166576,0.491413514086363
2145,9.015,802.56122,"PC 34:2|PC 16:0_18:2","PC",0.937416287780887,-0.093238232760239,0.0117988138996402,0.0450500167077173,0.749897142690343
2149,9.015,803.56415,"RIKEN N-VS1 ID-6083 from Mouse_Plasma_ApoEKO_N_F1EPA","Unknown",0.930515953620133,-0.103897209502083,0.00696947364504923,0.0325242103435631,0.8040348750784
