"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
2479,4.076,437.19485,"Unknown","null",4.32095077581109
2477,4.333,437.19379,"Unknown","null",3.62634565653954
2674,4.322,453.16901,"Unknown","null",3.41849088586689
6056,8.771,706.55524,"PC O-31:0","EtherPC",3.36546104939129
2191,3.684,415.21109,"RIKEN P-VS1 ID-2808 from Mouse_Macrophage_WT_N_F1AA","Unknown",3.34792576254392
2475,3.685,437.19299,"Unknown","null",3.29610259327856
11429,13.391,993.69379,"TG 62:16|TG 20:5_20:5_22:6","TG",3.20667509351657
6526,8.764,740.52521,"no MS2: MMPE 35:4|MMPE 17:2_18:2","MMPE",3.01802605933108
2193,3.942,415.21158,"LPG 11:0","LPG",2.93694716250082
879,3.954,295.11786,"Unknown","null",2.84756471482878
2734,3.942,459.2482,"Unknown","null",2.82873729062461
1934,3.954,397.20355,"Unknown","null",2.80287676929849
2892,3.945,474.28223,"low score: LPC O-16:4","EtherLPC",2.77006723405304
10530,14.003,921.72235,"TG O-57:10|TG O-21:4_18:3_18:3","EtherTG",2.75717861131145
2883,3.942,473.26456,"Unknown","null",2.74480713472605
2476,3.943,437.19333,"Unknown","null",2.68357831538632
2417,3.941,432.23834,"RIKEN P-VS1 ID-3065 from Mouse_Macrophage_WT_N_F1AA","Unknown",2.65019981581099
2474,4.211,437.19296,"Unknown","null",2.5125945753853
4993,6.314,637.30536,"RIKEN P-VS1 ID-6529 from Mouse_Macrophage_WT_N_F1EPA","Unknown",2.44341621478048
2594,3.944,446.25452,"low score: LPE O-17:4","EtherLPE",2.42407104269332
10893,13.475,945.69568,"TG 58:12|TG 18:2_20:5_20:5","TG",2.41651416599178
66,3.943,119.08625,"Unknown","null",2.38865373032543
10527,13.527,921.69598,"TG 56:10|TG 18:3_18:3_20:4","TG",2.37423215905852
2737,3.682,459.25031,"Unknown","null",2.35729291355874
2672,3.944,453.16785,"Unknown","null",2.32931155153779
8708,10.054,834.66711,"low score: DGCC 40:3|DGCC 20:1_20:2","DGCC",2.31035020799866
11580,13.464,1019.71234,"TG 64:17|TG 20:5_22:6_22:6","TG",2.27740743891339
4683,4.759,618.00122,"Unknown","null",2.2292708883277
9214,9.263,856.54504,"RIKEN P-VS1 ID-13626 from Mouse_Heart_WT_N_F1DHA","Unknown",2.2257602029536
2194,4.254,415.21182,"RIKEN P-VS1 ID-2808 from Mouse_Macrophage_WT_N_F1AA","Unknown",2.20602463030722
5525,6.313,675.26135,"Unknown","null",2.20157166556229
9512,13.973,872.54541,"Unknown","null",2.19286387239292
8071,11.852,807.65277,"RIKEN P-VS1 ID-11605 from Mouse_Brain_WT_N_F1AA","Unknown",2.1869768804656
9544,10.294,873.6554,"no MS2: SM 46:8;O3|SM 24:1;O2(FA 22:6)","ASM",2.18364269066303
7891,10.911,799.66888,"SM 41:2;O2|SM 17:1;O2/24:1","SM",2.16025005679488
787,3.954,281.13876,"Unknown","null",2.15907131692484
8158,9.253,810.65955,"RIKEN P-VS1 ID-11780 from Mouse_Plasma_WT_N_F1","Unknown",2.1520259846432
6291,8.895,723.55768,"no MS2: NAOrn 40:8;O2|NAOrn 18:4;O(FA 22:3)","NAOrn",2.15115848542681
2802,3.232,465.10117,"Unknown","null",2.15036290585415
5308,6.313,660.29059,"Unknown","null",2.13079030894405
10499,13.239,919.737,"TG O-57:11|TG O-22:4_15:2_20:5","EtherTG",2.11915879939609
9973,13.221,893.72064,"RIKEN P-VS1 ID-14961 from Mouse_Plasma_WT_N_F1","Unknown",2.11639467771175
5227,6.315,654.33215,"RIKEN P-VS1 ID-6897 from Cell_C2C12_WT_N_4h50AA","Unknown",2.11616927277657
2570,13.495,444.37509,"Unknown","null",2.11477188344651
3580,13.492,536.4386,"Unknown","null",2.11264436832836
9158,14.381,852.86365,"RIKEN P-VS1 ID-13511 from Mouse_Aorta_ApoEKO_N_F1EPA","Unknown",2.11029841315719
10801,11.285,938.62402,"Unknown","null",2.10766313414745
9056,10.6,849.6192,"Unknown","null",2.09195603933564
5291,6.313,659.28748,"RIKEN P-VS1 ID-7005 from Mouse_Macrophage_WT_N_F1AA","Unknown",2.05868441093998
6097,10.003,709.52014,"no MS2: RIKEN P-VS1 ID-8225 from Mouse_Feces_WT_N_Ctr","Unknown",2.03679650270587
9428,13.157,867.70496,"low score: SE 28:4/34:9","DEGSE",2.03571332240996
13399,8.995,1640.08325,"Unknown","null",2.01519432291186
6793,9.03,756.36932,"Unknown","null",2.01031303605002
8465,10.259,823.63879,"SM 42:4;O2","ASM",1.98522647458807
13190,9.119,1568.1875,"no MS2: RIKEN P-VS1 ID-20782 from Mouse_AdrenalGlands_WT_N_Ctr","Unknown",1.96959347222629
9818,8.775,884.60724,"PC 44:9","PC",1.96658887002785
2428,2.797,433.17804,"Unknown","null",1.96153302911903
7122,9.961,768.58539,"PC O-36:4|PC O-18:3_18:1","EtherPC",1.94216725944872
9234,13.952,857.45398,"Unknown","null",1.92315533055351
7273,10.997,774.65442,"PC O-36:1","EtherPC",1.9198298162957
