"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
31,5.796,104.1075,"Unknown","null",0.879141907788831,-0.185832036300283,0.0246626636083859,0.137928229809862,1.08174244881532
680,6.128,267.65167,"Unknown","null",0.933493107319669,-0.0992887248969936,0.252131359826202,0.491493284475519,0.769246280248709
1619,8.554,369.35202,"ST 27:1;O","ST",0.910085998349764,-0.135925216025928,0.000646516871482506,0.0252797733683468,1.11348245968684
1624,14.145,369.35385,"RIKEN P-VS1 ID-2084 from Mouse_Plasma_ApoEKO_N_F1EPA","Unknown",0.969637163796322,-0.0444831000810808,0.45284558499888,0.677026567671593,0.420357796474453
2302,6.462,427.28571,"Unknown","null",1.2303557181385,0.299075485158458,0.253782190289463,0.491493284475519,1.1321062714611
2359,8.004,429.37274,"low score: NAOrn 19:0;O","NAOrn",0.955216620259372,-0.0661001559425465,0.385208449243686,0.617604636544548,0.554808317560812
2588,8.083,445.36774,"low score: NAGly 22:1;O2|NAGly 12:0;O(FA 10:0)","NAGly",0.937864955767172,-0.0925478924783256,0.538098984043057,0.714038491905603,0.403204037074697
2860,8.002,469.36469,"low score: NAGly 24:3;O2|NAGly 9:0;O(FA 15:2)","NAGly",0.970582328196983,-0.0430775023050067,0.523150628344107,0.714038491905603,0.307698267196494
3133,6.133,496.34644,"LPC 16:0/0:0","LPC",1.02331522735907,0.0332506288511318,0.559465652484756,0.714038491905603,0.486656401062637
3150,6.131,497.34494,"Unknown","null",1.00997439738197,0.014318721454071,0.842936903537096,0.877817051269665,0.0930921796646137
3365,5.984,518.32251,"LPC 16:0","LPC",1.05548120453785,0.0779008881483882,0.458256535366384,0.67839938078749,0.415653669451798
3367,6.132,518.32294,"LPC 16:0","LPC",1.01345078253672,0.0192760271231762,0.803024094461605,0.859976157898598,0.13161237474285
3390,5.802,520.34143,"LPC 18:2/0:0","LPC",0.855482334173342,-0.225190031714064,0.0173492475171055,0.124134941354736,1.17604692124883
3422,6.24,522.35736,"LPC 18:1/0:0","LPC",0.949846843686128,-0.0742331874095861,0.373152298466702,0.612456489874696,0.44088124590694
