"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
2674,4.322,453.16901,"Unknown","null",5.11821428500523
2477,4.333,437.19379,"Unknown","null",5.060133104141
2479,4.076,437.19485,"Unknown","null",4.57917359464546
6056,8.771,706.55524,"PC O-31:0","EtherPC",4.27795930316409
2474,4.211,437.19296,"Unknown","null",3.71721057004701
11429,13.391,993.69379,"TG 62:16|TG 20:5_20:5_22:6","TG",3.44506059975541
2194,4.254,415.21182,"RIKEN P-VS1 ID-2808 from Mouse_Macrophage_WT_N_F1AA","Unknown",3.17438607667794
6526,8.764,740.52521,"no MS2: MMPE 35:4|MMPE 17:2_18:2","MMPE",3.10976495475324
13399,8.995,1640.08325,"Unknown","null",3.03147630982795
6379,8.482,730.67212,"Unknown","null",2.90143691048281
6348,8.772,728.52466,"no MS2: PC 32:3|PC 13:0_19:3","PC",2.82516237479833
9214,9.263,856.54504,"RIKEN P-VS1 ID-13626 from Mouse_Heart_WT_N_F1DHA","Unknown",2.82178535986469
3491,8.096,527.40698,"low score: NAOrn 28:6","NAOrn",2.81273334667281
8708,10.054,834.66711,"low score: DGCC 40:3|DGCC 20:1_20:2","DGCC",2.60702821803475
8158,9.253,810.65955,"RIKEN P-VS1 ID-11780 from Mouse_Plasma_WT_N_F1","Unknown",2.56746270422693
3024,8.256,487.41739,"no MS2: NAGly 25:1;O2|NAGly 11:0;O(FA 14:0)","NAGly",2.40435946838954
9234,13.952,857.45398,"Unknown","null",2.36200886222672
8619,8.552,830.64471,"RIKEN P-VS1 ID-12610 from Mouse_Heart_WT_N_F1","Unknown",2.33709480142451
2475,3.685,437.19299,"Unknown","null",2.33083342572467
11580,13.464,1019.71234,"TG 64:17|TG 20:5_22:6_22:6","TG",2.32537442136424
2802,3.232,465.10117,"Unknown","null",2.28598219806385
3025,8.886,487.42493,"Unknown","null",2.28430501447857
10530,14.003,921.72235,"TG O-57:10|TG O-21:4_18:3_18:3","EtherTG",2.26646579616313
9476,8.829,870.60022,"no MS2: PC 43:9|PC 19:3_24:6","PC",2.26451249081534
9559,14.162,874.41144,"Unknown","null",2.25657456080902
13470,8.983,1664.5946,"Unknown","null",2.24069972933202
9830,14.692,884.84705,"low score: Cer 58:3;O4|Cer 17:1;O2/41:2;O2","Cer_EOS",2.21429696784564
9512,13.973,872.54541,"Unknown","null",2.20843422381934
9158,14.381,852.86365,"RIKEN P-VS1 ID-13511 from Mouse_Aorta_ApoEKO_N_F1EPA","Unknown",2.19784739209192
3761,7.22,551.42261,"SM 23:0;O2","SM",2.18166799867551
9213,9.329,856.54327,"low score: LPI 36:7","LPI",2.18043328168543
2191,3.684,415.21109,"RIKEN P-VS1 ID-2808 from Mouse_Macrophage_WT_N_F1AA","Unknown",2.17716419535621
11380,13.754,987.74036,"low score: TG 61:12|TG 19:3_21:4_21:5","TG",2.17271538785177
9544,10.294,873.6554,"no MS2: SM 46:8;O3|SM 24:1;O2(FA 22:6)","ASM",2.14464762877698
6793,9.03,756.36932,"Unknown","null",2.13473954239626
3437,4.382,523.14771,"Unknown","null",2.11622412627953
9093,10.644,850.6449,"PC 41:5","PC",2.11160909425817
10801,11.285,938.62402,"Unknown","null",2.07591746337959
2428,2.797,433.17804,"Unknown","null",2.06603159588169
8801,9.214,838.57654,"no MS2: PE O-45:11|PE O-17:4_28:7","EtherPE",2.01959922171828
10155,13.811,902.0285,"Unknown","null",2.01233225378601
12640,8.968,1292.8208,"no MS2: NGcGM3 42:4;O2|NGcGM3 16:2;O2/26:2","NGcGM3",2.001567740404
13142,9.463,1554.15601,"no MS2: RIKEN P-VS1 ID-20661 from Mouse_BAT_fads2KO_N_Ctr","Unknown",2.00090313061524
10517,13.848,920.84222,"low score: Cer 61:6;O4|Cer 18:3;O2/43:3;O2","Cer_EOS",1.98035243747309
12613,9.006,1281.80103,"Unknown","null",1.96980477071977
8289,13.222,815.61755,"TG 48:7|TG 8:0_18:1_22:6","TG",1.96790215520451
7273,10.997,774.65442,"PC O-36:1","EtherPC",1.96626981820822
3497,8.095,528.41028,"no MS2: NATau 28:2","NATau",1.94493633956136
8040,9.202,806.56805,"PC 38:6|PC 16:0_22:6","PC",1.9418543320276
1670,14.168,371.89966,"Unknown","null",1.92543416853038
9006,8.554,847.60266,"PI 33:1(d7)|PI 15:0_18:1(d7)","PI",1.92001838801764
7122,9.961,768.58539,"PC O-36:4|PC O-18:3_18:1","EtherPC",1.90108543085097
8633,9.837,831.63361,"no MS2: SM 44:7;O2|SM 22:3;O2/22:4","SM",1.89199456445654
7009,9.016,764.11523,"Unknown","null",1.87821581262552
8465,10.259,823.63879,"SM 42:4;O2","ASM",1.87570956446601
9664,13.967,878.40631,"Unknown","null",1.87513594893351
8434,9.992,822.09277,"Unknown","null",1.87464851418687
5291,6.313,659.28748,"RIKEN P-VS1 ID-7005 from Mouse_Macrophage_WT_N_F1AA","Unknown",1.86406479893508
9599,13.966,875.78162,"RIKEN P-VS1 ID-14347 from Mouse_Muscle_WT_CTX3_Ctr","Unknown",1.85952245598227
6628,9.028,745.59259,"SM 36:2;O3","SM",1.84512585679648
8919,9.541,842.60638,"PC O-42:9","EtherPC",1.84458618168962
5385,8.544,664.53033,"low score: LPC 28:0","LPC",1.84141219083726
8046,11.871,806.64868,"HexCer 42:3;O3","HexCer_HDS",1.82931470834315
6097,10.003,709.52014,"no MS2: RIKEN P-VS1 ID-8225 from Mouse_Feces_WT_N_Ctr","Unknown",1.82778611141326
10716,9.023,932.55499,"no MS2: DGDG O-36:10|DGDG O-18:5_18:5","EtherDGDG",1.8261720005973
13209,9.022,1572.61255,"Unknown","null",1.82265678717679
6291,8.895,723.55768,"no MS2: NAOrn 40:8;O2|NAOrn 18:4;O(FA 22:3)","NAOrn",1.80797953636329
8204,9.164,812.56226,"PC O-40:10|PC O-18:4_22:6","EtherPC",1.80708668698447
9818,8.775,884.60724,"PC 44:9","PC",1.80340091092293
10725,14.035,932.83569,"low score: Cer 62:7;O4|Cer 14:1;O2/48:6;O2","Cer_EOS",1.79521556803377
7545,8.957,786.47333,"RIKEN P-VS1 ID-10686 from Mouse_SmallIntestine_WT_N_F1DHA","Unknown",1.79349761400901
8045,11.952,806.64844,"AHexCer 42:2;O2|AHexCer (O-16:1)26:1;O2","AHexCer",1.79171545999088
1069,2.373,314.23248,"Unknown","null",1.791334095348
3023,8.1,487.41287,"low score: NAGly 25:1;O2|NAGly 11:0;O(FA 14:0)","NAGly",1.78801155477361
12018,9.009,1136.47046,"Unknown","null",1.78627430104917
879,3.954,295.11786,"Unknown","null",1.77835413320611
9990,13.102,894.69379,"PC 44:4","PC",1.77643345419031
474,14.059,231.21007,"Unknown","null",1.77217995938146
5694,14.268,685.58984,"low score: SE 28:3/18:0","EGSE",1.7703123764863
7577,9.213,787.59497,"RIKEN P-VS1 ID-10745 from Mouse_Aorta_ApoEKO_N_F1EPA","Unknown",1.76949555169255
2737,3.682,459.25031,"Unknown","null",1.76888745662577
1207,4.006,334.14041,"Unknown","null",1.76365810577565
6140,14.258,713.56274,"no MS2: TG 40:2|TG 8:0_8:0_24:2","TG",1.75565319404347
4993,6.314,637.30536,"RIKEN P-VS1 ID-6529 from Mouse_Macrophage_WT_N_F1EPA","Unknown",1.75484722157848
9123,11.455,851.66669,"SM 44:5;O3|SM 24:0;O2(FA 20:4)","ASM",1.74693208294431
9336,8.775,862.62537,"Hex2Cer 34:1;O2|Hex2Cer 18:1;O2/16:0","Hex2Cer",1.74607154544715
7003,9.02,763.86096,"Unknown","null",1.74469805867277
9048,14.137,848.84265,"low score: DG O-52:2|DG O-28:1_24:1","EtherDG",1.73415666696169
4496,8.624,605.37567,"Unknown","null",1.72821431615131
10480,13.811,918.70703,"low score: TG 55:10;O|TG 16:0_22:6_17:4;O","OxTG",1.72636321672336
7879,4.527,799.55847,"Unknown","null",1.71785707967429
9623,11.745,876.68518,"PC O-44:6|PC O-28:5_16:1","EtherPC",1.71638655063774
10223,10.519,904.6333,"low score: AHexCer 49:10;O3|AHexCer (O-18:3)13:2;O2/18:5;O","AHexCer",1.71454238313685
11176,13.839,969.71533,"low score: TG O-61:14|TG O-18:5_21:3_22:6","EtherTG",1.71308589383454
5308,6.313,660.29059,"Unknown","null",1.70947083432148
6849,9.011,758.18964,"Unknown","null",1.70450726607616
9039,10.479,848.65375,"PC O-42:6|PC O-21:3_21:3","EtherPC",1.70319302210579
12888,9.025,1376.29346,"Unknown","null",1.70193273848164
10213,14.002,903.89429,"Unknown","null",1.70059476020872
2219,3.835,419.18057,"Unknown","null",1.69603584583341
7497,9.212,784.86542,"Unknown","null",1.68407135936486
7811,8.766,796.50787,"no MS2: PS 37:5|PS 11:0_26:5","PS",1.6830909523545
8275,11.529,814.75012,"low score: Cer 53:4;O3|Cer 15:1;O2/38:3;O","Cer_HS",1.67915041261726
203,14.059,165.16444,"Unknown","null",1.67681304034788
2476,3.943,437.19333,"Unknown","null",1.67499730957436
1934,3.954,397.20355,"Unknown","null",1.67311696559374
9137,10.281,852.57422,"low score: PS 39:2","PS",1.66666932047503
787,3.954,281.13876,"Unknown","null",1.6652671237905
2734,3.942,459.2482,"Unknown","null",1.66521403230338
11060,9.2,959.53619,"no MS2: GD1b 42:3;O2|GD1b 19:2;O2/23:1","GD1b",1.66408513239515
6658,9.104,747.4953,"low score: BA 24:1;O4;T/16:4","TDCAE",1.66332444039389
10453,13.458,916.71332,"TG 52:6;O3|TG 18:2_18:3_16:1;O3","OxTG",1.66325886472891
10362,14.694,910.86523,"low score: Cer 60:4;O4|Cer 17:2;O2/43:2;O2","Cer_EOS",1.66031254646689
9181,12.956,854.69824,"PC O-42:3","EtherPC",1.65541087119542
3185,8.064,499.37549,"low score: NAGlySer 22:1;O","NAGlySer",1.65522534850613
9582,13.968,874.9278,"RIKEN P-VS1 ID-14320 from Mouse_Heart_WT_N_F1","Unknown",1.65395558626537
8409,12.805,820.66443,"HexCer 43:3;O3","HexCer_HS",1.64814176725168
7819,8.584,796.58215,"PC 37:4","PC",1.64092452895233
7008,9.017,764.05511,"Unknown","null",1.63894739108757
2925,5.865,478.29434,"LPE 18:2","LPE",1.63603436485641
11889,9.023,1105.49268,"Unknown","null",1.63600402827956
10214,13.995,904.04407,"Unknown","null",1.63508543894814
7554,9.213,786.59174,"PC 36:2|PC 18:1_18:1","PC",1.63389917457665
7783,13.082,794.68866,"HexCer 42:1;O2|HexCer 18:1;O2/24:0","HexCer_NS",1.63253568155798
3398,5.8,520.56873,"Unknown","null",1.63134653515453
9621,12.863,876.68237,"PC O-44:6|PC O-24:1_20:5","EtherPC",1.62827247358171
2892,3.945,474.28223,"low score: LPC O-16:4","EtherLPC",1.62389572599838
8969,9.434,845.6217,"no MS2: SM 44:8;O3|SM 24:2;O2(FA 20:5)","ASM",1.62373046851276
8234,10.046,813.6217,"RIKEN P-VS1 ID-11906 from Mouse_Spleen_WT_N_F1","Unknown",1.62182842767315
4656,8.443,616.46539,"no MS2: CerP 34:2;O2|CerP 12:0;O2/22:2","CerP",1.6164398703853
11119,13.43,964.74054,"TG 60:14|TG 18:3_20:5_22:6","TG",1.61388721170796
8209,10.045,812.62036,"PC 38:3|PC 21:1_17:2","PC",1.61324566660887
10117,12.925,900.68158,"PC O-46:8|PC O-28:3_18:5","EtherPC",1.61304210337261
4844,9.212,629.55011,"low score: DMEDFAHFA 36:5;O2|DMEDFAHFA 20:4/16:0;O","DMEDFAHFA",1.6119668476125
10295,13.208,907.73236,"TG O-56:10|TG O-16:4_19:2_21:4","EtherTG",1.60748601946276
2979,5.802,483.2489,"Unknown","null",1.60706055088872
9302,9.405,860.57367,"no MS2: TG 46:8;O4|TG 8:0_16:3_22:5;O4","OxTG",1.60644734565813
11793,8.771,1076.84399,"RIKEN P-VS1 ID-18203 from Mouse_Macrophage_WT_N_F1","Unknown",1.6061528449028
10384,13.327,912.72717,"low score: TG 56:12|TG 18:2_16:4_22:6","TG",1.60541599721016
8266,10.046,814.62445,"PC 38:2|PC 18:0_20:2","PC",1.60529141997356
5690,13.177,685.55219,"DG 39:2","DG",1.60441505277673
10689,8.774,930.5271,"no MS2: PS 46:12","PS",1.6037541877129
12292,9.021,1201.82349,"Unknown","null",1.59837761375467
12532,9.018,1256.46021,"Unknown","null",1.59785582893232
12769,9.034,1332.43433,"Unknown","null",1.59720430021361
9335,10.347,862.60126,"low score: DGGA 40:6|DGGA 20:3_20:3","DGGA",1.59528267762511
2598,7.792,446.36993,"no MS2: NAGly 26:4","NAGly",1.5933755680386
9095,11.42,850.66724,"PC O-42:5|PC O-22:2_20:3","EtherPC",1.59267416108722
2883,3.942,473.26456,"Unknown","null",1.58959355575675
10144,12.925,901.68591,"low score: SM 47:4;O2","SM",1.58651174190316
1599,4.173,368.28061,"low score: Cer 21:2;O4|Cer 13:2;O3/8:0(2OH)","Cer_AP",1.58565927006563
8442,8.799,822.60034,"PC 39:5|PC 21:1_18:4","PC",1.582125248741
11709,8.676,1046.66089,"low score: PI 49:10","PI",1.57189719852878
6560,9.946,742.57269,"no MS2: LPC 34:3","LPC",1.57079472151908
7507,9.215,785.591,"RIKEN P-VS1 ID-10653 from Mouse_Aorta_WT_N_Ctr","Unknown",1.57008356260445
10257,14.224,906.06036,"Unknown","null",1.56995419083732
4388,14.215,599.50397,"Unknown","null",1.56601745287137
173,0.573,159.02905,"Unknown","null",1.5610653481714
10043,13.813,896.92163,"Unknown","null",1.55824888837493
850,1.259,288.21637,"CAR 8:0","CAR",1.55761880135052
8918,10.106,842.60443,"PC O-42:9|PC O-16:4_26:5","EtherPC",1.55639905127357
8071,11.852,807.65277,"RIKEN P-VS1 ID-11605 from Mouse_Brain_WT_N_F1AA","Unknown",1.55536068255905
10499,13.239,919.737,"TG O-57:11|TG O-22:4_15:2_20:5","EtherTG",1.54991209960418
6817,9.011,756.91534,"Unknown","null",1.54654894622775
10681,14.202,929.76898,"no MS2: SL 57:7;O|SL 21:3;O/36:4","SL",1.54430449649473
7989,13.189,804.69092,"no MS2: Cer 53:8;O4|Cer 18:3;O2/35:5;O2","Cer_EOS",1.54382914366131
6233,8.119,719.56946,"SM 34:1;O3","SM",1.54211471148317
9399,14.197,865.78192,"low score: DG 52:3","DG",1.54058112122217
10217,5.819,904.50452,"low score: MIPC 29:1;O4|MIPC 13:0;O3/16:1(2OH)","MIPC",1.53856536613758
11201,13.994,971.73407,"low score: TG O-61:13|TG O-19:5_21:4_21:4","EtherTG",1.53372593436972
10229,13.013,904.71527,"PC O-46:6|PC O-24:1_22:5","EtherPC",1.53365021729595
4277,7.675,590.45673,"LPC O-24:2","EtherLPC",1.53229744258925
7530,8.964,786.14539,"Unknown","null",1.53192259500013
