"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
29,3.529,78.91879,"Unknown","null",0.980468649877043,-0.0284565933735568,0.675370449155304,0.893781023399851,0.191835106181054
36,0.987,79.95728,"Unknown","null",1.05915641112676,0.0829156553306021,0.508107507528158,0.818925182398475,0.370706771047579
37,3.529,80.91679,"Unknown","null",0.994875591251733,-0.00741196632242236,0.914767437494271,0.976904657529638,0.151704036281057
60,3.643,89.02389,"no MS2: Glyceraldehyde","Monosaccharides",1.00178370034317,0.00257104333513958,0.978723474404458,0.99435909755096,0.14566017442106
62,3.907,89.02409,"low score: Glyceraldehyde","Monosaccharides",1.08637794373241,0.119526094571121,0.514371425344839,0.823049352438824,0.487564237110189
85,4.417,92.02528,"Unknown","null",0.881052949056494,-0.1826993708089,0.317587117827251,0.683910587309549,0.761689361312485
88,0.994,93.03427,"Unknown","null",1.0241875777004,0.0344799659581732,0.857970367001798,0.960117344428444,0.133858602263148
104,9.548,97.05978,"Unknown","null",0.971263276951323,-0.0420656799143391,0.815481060985103,0.944076729084986,0.261989555013968
150,8.257,102.05587,"low score: N-Methylalanine","Alanine and derivatives",1.14950074134295,0.201007396487979,0.141641077171174,0.523880530166151,0.886184380841953
164,2.313,103.03947,"Unknown","null",1.15679366770304,0.21013156010013,0.126729581781605,0.509817927247937,0.88094077320696
165,1.68,103.03978,"Unknown","null",0.812038440506493,-0.300380071152496,0.180185580007524,0.559038205388085,1.10545600329357
166,2.387,103.03984,"Unknown","null",1.08386207472398,0.116181180333939,0.441845787972735,0.774011864239511,0.483776688446752
167,8.154,104.03522,"no MS2: Serine","Serine and derivatives",1.02643019095201,0.0376355109417972,0.62149372967091,0.871315552526431,0.230949121927186
230,0.985,107.04973,"Unknown","null",1.23898612382803,0.309160029934857,0.11424999487008,0.49458290700749,1.05001880824885
238,0.921,109.02923,"Unknown","null",1.34563952182758,0.428291983704598,0.0300960067825889,0.277644951460365,1.49126258280604
263,4.39,112.05129,"low score: Creatinine","Alpha amino acids and derivatives",0.974757470441659,-0.0368847885546941,0.535947016578943,0.832291415186216,0.231614433800427
269,7.211,113.02373,"low score: beta-Cyano-alanine","Alpha amino acids",1.00872347081826,0.0125307314735945,0.936963006604885,0.981827783687071,0.269621100058238
272,1.038,113.91028,"Unknown","null",1.3689155035374,0.453033398831233,0.0015376836688165,0.0516826635338199,1.86619613514596
293,3.684,115.02058,"Unknown","null",1.00617850422078,0.00888627364149031,0.939186584278213,0.981827783687071,0.231739297270417
296,1.04,115.90301,"Unknown","null",1.25530099994181,0.328033339519601,0.00160612635486905,0.052333168370924,1.73631568643939
299,7.213,116.07193,"no MS2: Valine","Valine and derivatives",1.11548091517713,0.157665830646282,0.00301012052144552,0.07703257874995,1.04469288868414
318,1.452,117.05484,"no MS2: Methyl-2-hydroxyisobutyric acid","Tertiary alcohols",0.987414711343693,-0.0182719551511887,0.862357943267562,0.963224175047363,0.0989461290521551
319,1.752,117.05512,"Methyl-2-hydroxyisobutyric acid","Tertiary alcohols",1.12941640977972,0.175577498124635,0.121232142327377,0.505045178318971,0.924741862782221
332,7.772,118.05053,"low score: Homoserine","L-alpha-amino acids",1.03422646378582,0.048552126085653,0.568152785343323,0.849131098731403,0.288904414265392
338,7.213,119.03442,"Unknown","null",1.00540838314166,0.00778162345413236,0.962908717098678,0.988579913579033,0.242699380441946
339,0.935,119.04945,"Unknown","null",1.16013610521463,0.214294069835196,0.0793570180540444,0.436828963100439,0.973349908044797
374,0.904,123.04457,"Unknown","null",1.23744942018559,0.307369557322572,0.293210617447358,0.664044082853503,0.934558760649271
506,1.171,126.90466,"Unknown","null",1.03322047458283,0.0471481376959559,0.77290404912047,0.930792951499577,0.250250829457157
510,8.091,127.05055,"Unknown","null",0.919745211971442,-0.120693834081106,0.0764766506018019,0.430957743033307,0.730001604363668
550,8.258,128.03427,"Unknown","null",1.19205303955446,0.253448428920725,0.0705139606254525,0.41985304444119,1.10032606117059
576,6.407,128.9588,"Unknown","null",0.873754461368226,-0.194700178016017,0.144323188561467,0.524928551213196,0.811009979112724
590,2.477,129.03584,"Unknown","null",1.12573890260124,0.170872255835585,0.188112059679272,0.564537491084267,0.744805481729122
592,1.798,129.05489,"no MS2: 4-Acetylbutyric acid","Medium-chain fatty acids",1.22339274093796,0.290887620910494,0.012454268375893,0.173952374652076,1.57810651331857
593,2.224,129.05496,"no MS2: 4-Acetylbutyric acid","Medium-chain fatty acids",1.13569151030302,0.183571006500838,0.0455393026338836,0.347237182583363,0.976683297496635
610,6.487,130.08667,"low score: N-Methylvaline","Valine and derivatives",1.03487807021108,0.0494607987737279,0.495362607709179,0.809977480548542,0.313333932036626
611,6.665,130.08702,"no MS2: Leucine","Leucine and derivatives",1.1042480920118,0.143064339602439,0.0735548746816179,0.426233126825064,0.809186537606018
625,1.511,131.07092,"no MS2: 6-Hydroxycaproic acid","Medium-chain hydroxy acids and derivatives",1.13659962889561,0.184724149456178,0.0362240805185343,0.31101932404688,0.944239775737844
626,9.028,131.08136,"low score: Ornithine","L-alpha-amino acids",0.978604360796197,-0.0312023832537172,0.768012599452241,0.930792951499577,0.514484397537841
627,9.184,131.08168,"low score: Ornithine","L-alpha-amino acids",1.07096907694281,0.0989168244529477,0.33570767159653,0.69833334229109,0.610629863646945
628,8.323,131.082,"low score: Ornithine","L-alpha-amino acids",0.978727056985677,-0.0310215112943517,0.731926108209694,0.916122872835315,0.258758653856816
630,8.729,132.02946,"no MS2: Aspartic acid","Aspartic acid and derivatives",1.05069924937458,0.0713497734598079,0.443996433283061,0.775178352268148,0.352710581929314
725,6.09,134.89394,"Unknown","null",1.58261869810017,0.662313707387288,1.71248322719703e-07,3.65615169006566e-05,2.72056672829742
746,4.417,135.03069,"Hypoxanthine","Hypoxanthines",0.842474852229148,-0.247294472219902,0.198023975153397,0.570448705053335,0.979656954403357
831,6.091,136.89148,"Unknown","null",1.57316294864758,0.653668113239462,1.48276427233639e-07,3.40921723847189e-05,2.69823722537073
834,6.211,136.90907,"Unknown","null",0.961068724683158,-0.0572884950907309,0.219561151802871,0.591232687152054,0.487435457052862
846,1.291,137.02391,"Unknown","null",0.767392023330454,-0.38196432598706,0.157894078133732,0.535280692877994,1.28028664877156
847,2.503,137.02402,"low score: Salicylic acid","Salicylic acids",1.36156424993817,0.445265062352421,0.334260520256734,0.69833334229109,0.991727695349466
859,2.367,138.05547,"Unknown","null",1.17862939294099,0.237110150023897,0.423031870771927,0.758513654311512,0.689482888863087
861,2.061,138.05571,"Unknown","null",1.32853639156662,0.40983774699561,0.211051430361518,0.584848344331282,1.1181619847256
867,3.541,138.87451,"Unknown","null",1.06229852635499,0.0871892482241829,0.21828897543496,0.591232687152054,0.680482033343373
871,6.221,138.90681,"Unknown","null",0.923146337842784,-0.115368731798897,0.0244767970898245,0.249823275017788,0.826689481780227
880,5.418,139.02539,"Unknown","null",0.945898259103523,-0.0802430793780964,0.429096950754675,0.763434991551027,0.465545247785278
889,5.811,140.0088,"Unknown","null",1.00516845649016,0.00743730337133464,0.906670074873806,0.976904657529638,0.176914602429722
890,5.098,140.00954,"Unknown","null",0.968872364774684,-0.0456214713882943,0.724577328204876,0.914284017779888,0.48995375089636
891,5.219,140.01056,"Unknown","null",1.11336914101785,0.154932002042372,0.236894801142518,0.604162594381388,0.820699414192531
897,1.699,140.96385,"Unknown","null",0.856805296815239,-0.222960695955289,0.296700980015087,0.665834155631041,0.995054451572017
898,6.083,140.98125,"Unknown","null",1.07807899660713,0.108462895936178,0.0298544843352173,0.277644951460365,0.811128776918544
915,1.038,141.90523,"Unknown","null",1.20818340302184,0.272839473327114,0.0352272040751997,0.305200327480498,1.28929491016309
921,2.515,141.97275,"Unknown","null",1.15796899441493,0.211596624482,0.176031500165933,0.555605231252349,0.87211284967129
925,5.814,142.02463,"Unknown","null",0.974133769553932,-0.0378081958644252,0.5746058102549,0.851817383028636,0.333225745574891
926,5.246,142.02481,"Unknown","null",1.1065072384805,0.146012888902838,0.291223870416543,0.664044082853503,0.910830504855883
927,5.076,142.02483,"Unknown","null",0.901971722894568,-0.148845889654204,0.301474309101287,0.670003101685818,0.816979397933666
929,5.139,142.02545,"Unknown","null",0.994641259495433,-0.00775181693909133,0.948271131735966,0.985132247634651,0.551090331309828
930,6.098,142.9236,"Unknown","null",1.07002164251512,0.0976399772184529,0.061686679223619,0.393137492962467,0.656428983734134
937,6.078,142.97244,"Unknown","null",1.03810797057519,0.0539565019930794,0.255695933052706,0.630517648426827,0.550159665111375
938,7.214,143.03474,"Unknown","null",0.973350278011604,-0.0389690160776546,0.797685457163246,0.935764274890954,0.299834181001863
956,1.029,144.04431,"no MS2: Indole-3-carboxaldehyde","Indoles",1.02689309482727,0.0382859970500355,0.659316061291559,0.887895786117409,1.08295461337806
982,8.091,145.06131,"Glutamine","Alpha amino acids",0.912732781884661,-0.131735546482105,0.079539165367188,0.437026774416406,0.749470046848665
983,9.127,145.09743,"low score: Lysine","D-alpha-amino acids",1.16299038358399,0.217839167651162,0.0116178016662608,0.166185938346326,1.14934246859695
992,8.257,146.04532,"Glutamic acid","Glutamic acid and derivatives",1.19862991615901,0.261386287160171,0.0903048704109558,0.456657562362015,1.07798801742896
993,7.186,146.07986,"Unknown","null",1.13426802744997,0.181761589295002,0.0011446548961448,0.0427346590642735,1.26174776824121
1024,6.365,147.04521,"low score: Cinnamic acid","Cinnamic acids",1.0016560294388,0.00238716939263561,0.963112983721025,0.988579913579033,0.116700778613794
1131,5.071,151.02525,"Unknown","null",1.06355951518378,0.0889007665925163,0.398743191204978,0.741694809898152,0.478352068330892
1132,4.097,151.02531,"Unknown","null",0.975906668672847,-0.0351849133709567,0.864798833495609,0.964078523481637,0.360040651522115
1135,6.088,151.8732,"Unknown","null",1.33744348223659,0.41947792731208,2.45194941049751e-07,4.32836559701764e-05,2.10545537374148
1167,6.093,152.95261,"Unknown","null",1.01749362202761,0.0250197512502659,0.52695216835334,0.83035582017657,0.381097917792963
1193,6.089,153.8681,"Unknown","null",1.46604172035431,0.551926160014581,2.89619645166788e-07,4.32836559701764e-05,2.46036597518635
1205,3.416,153.9566,"Unknown","null",1.09973395556604,0.137154553378828,0.364156557838717,0.717984136794147,0.564485941408265
1211,8.991,154.0614,"Histidine","Histidine and derivatives",1.09089491562285,0.125512135564836,0.0515210669350499,0.366476467530033,0.785479479135276
1215,6.092,154.94714,"Unknown","null",1.02589898542268,0.0368886837672999,0.308400961368542,0.67677345344697,0.63023586908295
1231,6.09,155.86493,"Unknown","null",1.4512488676866,0.537294941451862,3.81421738661404e-07,5.34954446667041e-05,2.4223734124941
1241,1.037,155.90498,"Unknown","null",1.27763918722309,0.35348046828868,0.00883005155434374,0.144070400999205,1.55368290596183
1245,3.43,155.95094,"Unknown","null",1.05686725588098,0.079794183429545,0.616707806858674,0.870875069092207,0.543257204898699
1251,7.081,156.05157,"Unknown","null",1.00302345455569,0.00435534211714028,0.956205008293547,0.987464377162138,0.153916218658793
1252,9.029,156.07593,"Unknown","null",0.994270653046958,-0.00828946980159628,0.920267304227167,0.977845350990047,0.345758406422201
1254,6.092,156.84706,"Unknown","null",0.959663728613968,-0.0593991286873461,0.292627834204396,0.664044082853503,0.872281141886535
1257,3.676,156.95235,"Unknown","null",1.08936409307505,0.123486219880217,0.29381761419947,0.664044082853503,0.807008449676512
1258,3.775,156.95251,"Unknown","null",1.27516723428268,0.35068646453418,0.0130791911277227,0.178510614962996,1.4122967873721
1261,1.594,156.99579,"Unknown","null",1.34028547474833,0.422540320936172,0.253198027516951,0.627994426698238,1.11211846227365
1264,3.431,157.01245,"Unknown","null",0.983085434306074,-0.0246112965373566,0.876673527942381,0.968716146033189,0.278719140743418
1266,5.08,157.0359,"no MS2: Allantoin","Imidazoles",0.98637895129031,-0.0197860810276822,0.832148025206149,0.949878029865295,0.558040413527257
1272,1.336,157.08578,"Unknown","null",1.08270901901913,0.114645566839314,0.213210201594371,0.585218836966429,0.511633882269465
1276,6.091,157.86198,"Unknown","null",1.43084078954843,0.516863151514297,7.02371929997355e-08,2.50157097697449e-05,2.36940561054624
1283,1.038,157.90018,"Unknown","null",1.42746724100829,0.513457637513032,0.00166782134125343,0.053603419236629,2.00763404385598
1316,6.092,158.84602,"Unknown","null",0.883119510761479,-0.179319406825702,0.000890923701608873,0.0355062792547856,1.40315620519467
1319,6.094,158.9182,"Unknown","null",0.996564377749203,-0.00496508916118543,0.931423401320098,0.980238082529908,0.531203585604154
1347,8.859,159.11241,"no MS2: N-Methyllysine","L-alpha-amino acids",0.881060458705727,-0.182687074059258,0.202783561055767,0.572381661819165,0.710345222797435
1350,1.847,159.88489,"Unknown","null",0.939925872566778,-0.0893811120303258,0.593953876013143,0.86401655768999,0.448078124951085
1385,6.125,160.78801,"Unknown","null",0.981114321384363,-0.0275068429638701,0.775900502788055,0.930792951499577,0.218985779042333
1402,6.092,160.84152,"Unknown","null",0.882045215969475,-0.181075480847312,0.000387675930763297,0.0181056774539296,1.41155030286569
1432,7.218,161.04501,"Unknown","null",0.966581227222784,-0.0490371196288582,0.763411539122821,0.927871516509924,0.249674423744543
1439,1.861,161.88297,"Unknown","null",1.03611597597976,0.0511854978181745,0.757900691141623,0.924718019135744,0.367054484663727
1442,1.856,161.91298,"Unknown","null",1.29249290706952,0.370156363353587,0.0269928389725312,0.261672564510031,1.52817362711534
1452,6.082,162.75352,"Unknown","null",0.837069714533699,-0.256580313660479,0.00131093370346572,0.046647390948322,1.3943985222649
1453,6.11,162.78041,"Unknown","null",0.909883279945086,-0.136246606987658,0.16764709897701,0.544095782953769,0.749751463749355
1470,6.093,162.83853,"Unknown","null",0.879999749408852,-0.184424981963176,0.000326733960038299,0.016552674687364,1.42383129663175
1488,3.501,163.89513,"Unknown","null",1.0482572197679,0.0679927666378948,0.361085255365812,0.71406083315657,0.521105448702026
1489,3.571,163.89558,"Unknown","null",0.998942154435598,-0.00152695633425104,0.986164562494817,0.995829510650325,0.454948126362185
1500,0.914,163.96545,"Unknown","null",1.31637733658604,0.396573093625653,0.200700128248381,0.570448705053335,1.29507472506636
1508,6.366,164.07123,"Phenylalanine","Phenylalanine and derivatives",1.01785085626572,0.025526181561748,0.637826733230555,0.881063528307488,0.287849086963365
1521,6.096,164.83545,"Unknown","null",0.876428005681821,-0.190292509449304,0.000289760067499788,0.0151946112588924,1.4435239035233
1544,3.53,165.89337,"Unknown","null",1.05976488235642,0.0837442264081449,0.28274203305485,0.657827503677233,0.585908151443574
1549,1.03,165.91588,"Unknown","null",1.27257587038721,0.347751671678889,0.197039064748229,0.570448705053335,1.13495153857125
1576,6.098,166.83226,"Unknown","null",0.872409796180496,-0.196922124975558,0.000352905974474876,0.0171126704269964,1.45922374465192
1609,6.232,167.83575,"Unknown","null",1.6954939260214,0.761705616026861,7.21519916429118e-08,2.50157097697449e-05,2.74530562137459
1617,6.093,167.88228,"Unknown","null",1.24628009042633,0.317628337750667,1.07784025664271e-06,0.000123910174119425,1.84916813419124
1634,8.993,168.07658,"3-Methylhistidine","Histidine and derivatives",1.11625450908782,0.158666003096105,0.482409502571285,0.803272022788395,0.526600201261234
