"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
6582,1.339,371.18805,"low score: LPG O-9:0","EtherLPG",4.74807352344614
7812,4.878,449.25516,"Unknown","null",4.67244537413922
8690,6.256,511.2915,"no MS2: LPG 18:0","LPG",4.47058175778182
6550,1.243,369.17422,"Unknown","null",4.47004415195454
8654,5.701,509.27643,"no MS2: LPG 18:1","LPG",3.92811201284685
7883,1.243,454.15076,"Unknown","null",3.7079072250808
9705,1.235,604.1637,"Unknown","null",3.58869221580763
11013,5.296,885.54694,"no MS2: PI 12:0_26:4","PI",3.31402651411283
8811,1.242,520.17346,"Unknown","null",3.30253075079969
11020,5.302,886.55103,"no MS2: Hex2Cer 33:4;2O","Hex2Cer",3.09174399687281
7593,1.242,437.16019,"Unknown","null",3.0424721340054
7415,1.247,427.13184,"Unknown","null",2.8177240661585
10959,5.348,857.5235,"no MS2: PI 10:0_26:4","PI",2.81004129338299
8929,4.937,530.3269,"no MS2: PE O-16:3_6:0","EtherPE",2.65777943232776
10910,5.4,833.51764,"no MS2: PI 8:0_26:2","PI",2.54464559477504
6039,0.983,340.022,"Unknown","null",2.49711176063856
10970,5.37,861.55011,"no MS2: PI 10:0_26:2","PI",2.48919856132827
8367,5.404,489.27182,"low score: LPG O-18:4","EtherLPG",2.48709314165526
6926,1.054,395.10223,"Unknown","null",2.41276083760354
3938,2.072,246.99045,"Unknown","null",2.40082037009885
10964,5.371,859.53363,"no MS2: PI 14:0_22:3","PI",2.36310708528356
10611,4.68,747.56635,"no MS2: SM 8:0;2O/26:1","SM",2.36119335006528
8052,5.529,465.2489,"Unknown","null",2.33626156422378
10332,4.836,687.54272,"no MS2: PE-Cer 12:0;2O/24:1","PE_Cer",2.23249335161301
7532,6.089,433.20569,"Unknown","null",2.23046390206829
8579,5.873,505.26462,"no MS2: SM 14:3;2O/3:0","SM",2.19379740909513
10791,3.593,802.55945,"no MS2: PC O-16:0_18:3;O","EtherOxPC",2.17692806431159
10549,4.731,733.54688,"no MS2: MGDG O-8:0_22:0","EtherMGDG",2.14297399840955
10333,4.698,687.54279,"no MS2: PE-Cer 12:0;2O/24:1","PE_Cer",2.09941643658574
6734,6.41,382.84109,"Unknown","null",2.0971474524797
11155,6.41,968.57306,"Unknown","null",2.08714135144231
9963,6.41,634.72235,"Unknown","null",2.07467110294053
5358,1.348,306.02817,"low score: Nitazoxanide","Acylsalicylamides",2.06548957713456
9307,0.991,564.95148,"Unknown","null",2.04537721922783
5985,5.934,337.14053,"Unknown","null",2.02050062779909
9103,0.995,547.26855,"no MS2: PG 2:0_18:3","PG",2.01335590200217
10782,6.409,800.64709,"no MS2: PE O-13:0_28:1","EtherPE",2.00843987490554
4486,5.721,267.07291,"Inosine","Purine nucleosides",2.00305884802016
8672,4.51,510.25101,"no MS2: LNAPS 2:0/N-14:0","LNAPS",1.98630315090235
10505,4.749,719.53192,"no MS2: MGDG O-8:0_21:0","EtherMGDG",1.96862379811623
6948,0.984,397.00269,"Unknown","null",1.96844671719274
11008,5.324,883.53931,"no MS2: PI 14:1_24:4","PI",1.96257752179191
11024,4.702,888.5343,"no MS2: PC 16:0_20:5;4O","OxPC",1.95992530018753
9615,1.223,595.05927,"Unknown","null",1.95154251212548
4633,1.341,273.16986,"Unknown","null",1.92158859757159
8708,5.071,512.29669,"no MS2: PC O-8:0_6:0","EtherPC",1.91809975480283
7823,1.157,450.05286,"Unknown","null",1.91602193858718
9118,6.408,548.76508,"Unknown","null",1.89425020210637
10793,6.41,802.64905,"no MS2: HexCer 8:0;3O/31:0;(2OH)","HexCer_AP",1.88361255373966
7784,5.809,448.30377,"low score: ST 24:1;O3;G","BileAcid",1.88025610167604
3445,0.983,228.84636,"Unknown","null",1.87328074431819
10912,5.403,835.52942,"no MS2: PI 8:0_26:1","PI",1.86453370031078
11007,5.329,881.52332,"no MS2: PI 16:0_22:6","PI",1.86320553624776
10349,0.951,691.39862,"no MS2: PG O-16:4_16:4","EtherPG",1.86271529203183
1674,6.094,169.87973,"Unknown","null",1.85728573763142
2733,0.911,204.98061,"Unknown","null",1.84655351174252
7279,5.72,418.07144,"Unknown","null",1.84531641824312
8043,6.409,464.80368,"Unknown","null",1.84144666160206
5128,6.408,296.88141,"Unknown","null",1.83758654056813
8015,5.972,462.17703,"Unknown","null",1.83516781303374
9145,6.411,550.76428,"Unknown","null",1.83016299779831
6711,6.408,380.84238,"Unknown","null",1.81430336909732
5432,1.091,309.20621,"low score: FAHFA 2:0/16:2","FAHFA",1.81024544340394
2162,0.985,187.00688,"Unknown","null",1.80014892563499
10610,4.829,747.56146,"no MS2: SM 8:0;2O/26:1","SM",1.79784066172156
8525,5.267,500.27936,"no MS2: PE O-16:4_4:0","EtherPE",1.79754310321355
4935,1.038,287.8353,"Unknown","null",1.79283617356595
7545,1.222,434.21924,"Valsartan","Valine and derivatives",1.79157743289708
11023,6.409,886.61169,"no MS2: SHexCer 42:3;2O","SHexCer",1.78523975358906
8908,5.802,528.26276,"no MS2: ST 24:1;O4;G;S","BASulfate",1.78300136012013
4785,1.971,280.0528,"Unknown","null",1.77991456768008
9055,1.269,540.26202,"no MS2: LNAPE 2:0/N-20:5","LNAPE",1.77685861251173
10613,4.829,748.56427,"no MS2: HexCer 8:0;2O/30:4","HexCer_NDS",1.76372260558577
4967,1.037,289.83127,"Unknown","null",1.76052899631297
9951,6.409,632.72571,"Unknown","null",1.7596651824448
7286,1.144,418.98227,"Unknown","null",1.75683927964321
7957,1.056,458.09784,"Unknown","null",1.75469343451625
9888,7.235,624.33765,"Unknown","null",1.74864869303003
9978,0.975,636.19922,"Unknown","null",1.73587617781603
6996,0.909,399.02271,"Unknown","null",1.73285815189503
8066,6.41,466.80215,"Unknown","null",1.72807388394536
8889,4.942,526.29138,"no MS2: PE O-18:5_4:0","EtherPE",1.72805391181298
10990,6.416,870.63281,"no MS2: ST 24:1;O4;T/26:3","TDCAE",1.72666641069839
9756,0.991,610.17639,"Unknown","null",1.70381116122706
3478,1.037,229.86023,"Unknown","null",1.70100941859361
9357,5.72,569.06958,"Unknown","null",1.69992228797746
2675,0.902,203.0014,"Unknown","null",1.69939297684194
1617,6.093,167.88228,"Unknown","null",1.69811249324027
7232,6.066,415.12314,"Unknown","null",1.69568315408691
230,0.985,107.04973,"Unknown","null",1.69265900978169
9026,1.345,537.28748,"no MS2: MGDG 2:0_13:0","MGDG",1.69033510786101
10498,6.41,718.6864,"no MS2: Cer 14:0;2O/32:2;(2OH)","Cer_ADS",1.68947875813989
9889,6.95,624.33862,"Unknown","null",1.68369985908163
2188,0.984,187.14436,"Unknown","null",1.68281778129826
7544,1.456,434.21872,"Valsartan","Valine and derivatives",1.68172996164327
9815,0.937,617.25031,"no MS2: SMGDG O-18:5_2:0","EtherSMGDG",1.68054625654
9082,5.719,544.01959,"Unknown","null",1.6758141895405
9986,5.709,637.05792,"Unknown","null",1.67377700659562
6739,0.984,383.02936,"Unknown","null",1.66835116770721
746,4.417,135.03069,"Hypoxanthine","Hypoxanthines",1.66157283291054
5349,3.592,305.84195,"Unknown","null",1.65422402348337
10284,7.776,679.77539,"Unknown","null",1.6537191355878
10122,0.99,657.34454,"no MS2: DGDG O-8:0_5:0","EtherDGDG",1.65283286069772
