"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
29,3.529,78.91879,"Unknown","null",0.897667038165372,-0.155747673823388,0.0713809211899373,0.266117524152556,0.762809129217966
36,0.987,79.95728,"Unknown","null",1.10655600957241,0.14607647661323,0.200059398960212,0.462594026475282,1.0576080332667
37,3.529,80.91679,"Unknown","null",0.915785629381755,-0.126918168642383,0.125751738624212,0.365886516255317,0.729115849638829
85,4.417,92.02528,"Unknown","null",0.724268362057222,-0.46540373891521,0.0345049179947037,0.183831944856918,1.45744317204354
88,0.994,93.03427,"Unknown","null",1.02405599389124,0.0342946019596457,0.839715040734863,0.918492712912851,0.124470820346915
150,8.257,102.05587,"low score: N-Methylalanine","Alanine and derivatives",1.0000406436156,5.8635151107822e-05,0.999689424496243,0.999853762290052,0.373262052695861
165,1.68,103.03978,"Unknown","null",0.740201104697306,-0.434010806128267,0.0450523888205342,0.209090658232178,1.26178230285725
166,2.387,103.03984,"Unknown","null",0.919932638797223,-0.120399869838501,0.429356230600125,0.669065983850195,0.455646565078896
167,8.154,104.03522,"no MS2: Serine","Serine and derivatives",0.902579747777312,-0.147873687386189,0.10252803883024,0.329322107695472,0.808154941355613
230,0.985,107.04973,"Unknown","null",1.46243945272366,0.548376896105591,0.00213646515204166,0.0502866499219357,1.69265900978169
238,0.921,109.02923,"Unknown","null",1.20167699893613,0.265049163391129,0.155219683661038,0.416253987876489,0.953605229195865
263,4.39,112.05129,"low score: Creatinine","Alpha amino acids and derivatives",0.971982796993337,-0.0409973149164209,0.34881519580442,0.604328646121264,0.227709498742324
269,7.211,113.02373,"low score: beta-Cyano-alanine","Alpha amino acids",0.962827961139648,-0.0546500556801028,0.728251238403053,0.870164754452362,0.424755383674733
272,1.038,113.91028,"Unknown","null",1.09687246362939,0.133395789382064,0.235122671066536,0.503788657978163,0.697246136189166
296,1.04,115.90301,"Unknown","null",1.16947165802622,0.225856898611688,0.0161939852175083,0.114580689657598,0.922894193406359
299,7.213,116.07193,"no MS2: Valine","Valine and derivatives",1.07787435517971,0.108189016936768,0.0343936606362306,0.183831944856918,0.80645757922736
318,1.452,117.05484,"no MS2: Methyl-2-hydroxyisobutyric acid","Tertiary alcohols",0.883425308148899,-0.178819931947928,0.168554399730204,0.430810840153212,0.707332907801127
319,1.752,117.05512,"Methyl-2-hydroxyisobutyric acid","Tertiary alcohols",1.0598826740141,0.0839045714051849,0.291705705797377,0.570744290375265,0.847105053449592
