"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
6582,1.339,371.18805,"low score: LPG O-9:0","EtherLPG",5.23912829010257
6550,1.243,369.17422,"Unknown","null",4.8629490527737
7812,4.878,449.25516,"Unknown","null",4.76776079621286
8690,6.256,511.2915,"no MS2: LPG 18:0","LPG",4.59614721258137
9705,1.235,604.1637,"Unknown","null",4.3792093869678
8053,5.317,465.25262,"no MS2: LPG O-16:2","EtherLPG",4.20746686211683
8654,5.701,509.27643,"no MS2: LPG 18:1","LPG",4.10610247926603
9311,1.242,565.19672,"Unknown","null",4.06854112969522
7883,1.243,454.15076,"Unknown","null",3.93859869421131
10661,1.243,761.33405,"Unknown","null",3.84528503195332
4126,4.879,254.94701,"Unknown","null",3.72320986017834
10637,7.566,756.17688,"Unknown","null",3.70787222701403
7236,1.344,415.2131,"no MS2: Ramipril","Dipeptides",3.68501885755525
1721,4.887,171.94594,"Unknown","null",3.68340870767147
3489,4.922,229.95151,"Unknown","null",3.65268847321435
8811,1.242,520.17346,"Unknown","null",3.55318773022569
7810,3.412,449.2529,"Unknown","null",3.52281348700113
3266,5.83,223.79697,"Unknown","null",3.49632571423304
3350,4.608,225.06882,"Unknown","null",3.455495175768
7593,1.242,437.16019,"Unknown","null",3.40570879831073
3995,6.992,248.97348,"Unknown","null",3.38089930381317
7809,3.519,449.24985,"Unknown","null",3.36434732510044
3349,3.328,225.06619,"Unknown","null",3.36432788551075
1433,6.117,161.06816,"Unknown","null",3.33920457649376
6143,0.807,346.87009,"Unknown","null",3.31340113074254
1718,5.437,171.94525,"Unknown","null",3.299536052923
813,6.248,136.89096,"Unknown","null",3.26525874753884
3872,4.867,243.96693,"Unknown","null",3.22554838244237
7813,3.667,449.25552,"Unknown","null",3.222475483037
3992,0.805,248.97238,"Unknown","null",3.15565186008809
4125,4.676,254.94643,"Unknown","null",3.138643393499
7814,3.769,449.25562,"Unknown","null",3.13499548862201
7811,3.254,449.25339,"Unknown","null",3.0541751629996
9494,2.102,583.25366,"no MS2: PI 2:0_14:1","PI",3.01536104572702
5905,5.791,333.94302,"Unknown","null",2.99655348123199
10215,1.243,671.17267,"Unknown","null",2.98642881648739
1943,9.548,179.96898,"Unknown","null",2.9754863757197
1668,6.237,169.83336,"Unknown","null",2.95569139890473
3359,6.559,225.79552,"Unknown","null",2.95251100387928
1730,5.294,171.94658,"Unknown","null",2.93645042892507
1391,5.844,160.8412,"Unknown","null",2.93305782608784
2265,5.35,189.85759,"Unknown","null",2.931489491517
1729,4.774,171.94647,"Unknown","null",2.93077835559643
4123,4.557,254.94633,"Unknown","null",2.92628346155583
1720,6.25,171.94565,"Unknown","null",2.92556914278512
6200,0.807,348.86765,"Unknown","null",2.91731923387492
6224,4.94,349.95676,"Unknown","null",2.90296410951822
2209,5.355,187.86095,"Unknown","null",2.89868412706242
3579,1.38,232.76176,"Unknown","null",2.88163312435086
7415,1.247,427.13184,"Unknown","null",2.85004479720411
3875,4.481,243.96729,"Unknown","null",2.84434597085489
1242,4.683,155.95058,"Unknown","null",2.83583020943396
1467,5.844,162.83842,"Unknown","null",2.83090839407415
8147,2.505,472.01828,"Unknown","null",2.82235237122155
8052,5.529,465.2489,"Unknown","null",2.80869686664268
1472,5.7,162.83858,"Unknown","null",2.80727634247439
3179,6.282,221.79932,"Unknown","null",2.792560216022
1512,5.844,164.83493,"Unknown","null",2.74809755444184
1486,6.094,163.0666,"Unknown","null",2.74510292158221
5649,6.273,319.92834,"Unknown","null",2.71907750885045
3633,1.379,234.7594,"Unknown","null",2.71194305765668
3692,7.522,237.09015,"low score: Gly-Tyr","Dipeptides",2.70115388143805
8760,3.501,516.81964,"Unknown","null",2.69952112698496
9714,2.086,605.23901,"no MS2: PI 2:0_16:4","PI",2.69488307505643
2401,6.272,194.90482,"Unknown","null",2.69069467897381
2267,6.008,189.85791,"Unknown","null",2.69010515734651
10576,1.256,739.16748,"Unknown","null",2.68905798704544
2205,6.01,187.86082,"Unknown","null",2.6858282469726
5717,6.252,322.88458,"Unknown","null",2.6840448794011
1882,6.229,177.90269,"Unknown","null",2.68292701616656
