"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
6582,1.339,371.18805,"low score: LPG O-9:0","EtherLPG",4.1030442913652
7812,4.878,449.25516,"Unknown","null",4.02434813312329
7810,3.412,449.2529,"Unknown","null",3.98602425418556
8690,6.256,511.2915,"no MS2: LPG 18:0","LPG",3.8682062860097
6550,1.243,369.17422,"Unknown","null",3.81362191493726
7809,3.519,449.24985,"Unknown","null",3.79279972357078
8053,5.317,465.25262,"no MS2: LPG O-16:2","EtherLPG",3.59211476743396
813,6.248,136.89096,"Unknown","null",3.56182027771339
4126,4.879,254.94701,"Unknown","null",3.52004379232682
7811,3.254,449.25339,"Unknown","null",3.45725491340271
9311,1.242,565.19672,"Unknown","null",3.42860888645591
9587,1.011,591.51874,"Unknown","null",3.4223390547565
9603,1.001,593.53082,"Unknown","null",3.40831808336046
8654,5.701,509.27643,"no MS2: LPG 18:1","LPG",3.38093049917848
1721,4.887,171.94594,"Unknown","null",3.35836255851371
3266,5.83,223.79697,"Unknown","null",3.33707947749038
3489,4.922,229.95151,"Unknown","null",3.33689367717237
10637,7.566,756.17688,"Unknown","null",3.32595518369613
1433,6.117,161.06816,"Unknown","null",3.30779295355012
7813,3.667,449.25552,"Unknown","null",3.24890123826105
10360,1.623,693.24719,"Unknown","null",3.1989870711356
9714,2.086,605.23901,"no MS2: PI 2:0_16:4","PI",3.18864141342724
3349,3.328,225.06619,"Unknown","null",3.18044985434119
1730,5.294,171.94658,"Unknown","null",3.15085177766659
11013,5.296,885.54694,"no MS2: PI 12:0_26:4","PI",3.14189805617292
7883,1.243,454.15076,"Unknown","null",3.13892650111284
10790,2.03,802.55676,"no MS2: PC O-16:0_18:3;O","EtherOxPC",3.11131004704634
9705,1.235,604.1637,"Unknown","null",3.0689157688607
11020,5.302,886.55103,"no MS2: Hex2Cer 33:4;2O","Hex2Cer",3.02360264273093
7236,1.344,415.2131,"no MS2: Ramipril","Dipeptides",2.97544505889853
