"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
17086,1.066,1112.43347,"Unknown","null",3.07571497562419
16810,1.052,1075.73462,"no MS2: PI 50:5","PI",2.96438317048293
667,5.722,137.07095,"1-Methylnicotinamide","Nicotinamides",2.93060616287007
15297,1.081,926.39069,"Unknown","null",2.75304414585351
16816,1.344,1076.49573,"Unknown","null",2.73086001128642
17589,1.346,1188.05066,"no MS2: SM 38:1;2O(FA 30:3)","ASM",2.72471915029781
14521,1.342,871.39478,"Unknown","null",2.70093757572196
15898,1.05,980.67554,"no MS2: DGDG O-11:0_28:7","EtherDGDG",2.69531476233128
16209,1.344,1011.87396,"no MS2: SM 33:1;2O(FA 22:0)","ASM",2.67876944095807
17084,1.063,1112.10181,"Unknown","null",2.64450405855156
5118,2.181,370.29382,"low score: CAR 14:1","CAR",2.62799848438555
17131,1.089,1117.77368,"no MS2: SM 64:15;2O","SM",2.61668349780662
16551,1.352,1046.51208,"Unknown","null",2.56253735473268
13210,7.552,799.17828,"Unknown","null",2.55545774041385
14725,1.139,883.6051,"no MS2: ST 24:1;O4;T/26:6","TDCAE",2.55465566981512
17380,1.091,1156.45752,"Unknown","null",2.54508343403377
9216,4.545,589.30078,"Unknown","null",2.48399401578587
17535,1.068,1180.47498,"Unknown","null",2.46399483321794
12219,1.138,745.30798,"Unknown","null",2.44575711133319
11583,1.114,712.89337,"Unknown","null",2.42534062435744
16024,1.134,992.93201,"no MS2: DGTS 25:0_27:0","DGTS",2.41633254212575
16467,1.102,1039.46106,"Unknown","null",2.41596264740664
17638,1.143,1196.47827,"Unknown","null",2.39775975582665
17477,1.097,1171.13098,"no MS2: TG 8:0_27:0_38:2","TG",2.37086529660603
6338,3.161,432.31189,"low score: CAR 19:5","CAR",2.35461751882036
6289,5.654,430.29529,"Unknown","null",2.3545567900358
2100,1.694,207.08716,"low score: Diphenylcyclopropenone","Benzene and substituted derivatives",2.34691973858505
17596,1.161,1189.80054,"no MS2: DGDG O-26:3_28:7","EtherDGDG",2.34690829022755
