"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
13685,7.553,824.12372,"Unknown","null",3.07018501675841
17086,1.066,1112.43347,"Unknown","null",2.90949251058073
9101,0.94,584.26379,"no MS2: PS 20:3","PS",2.89282614704352
10499,1.107,660.48621,"no MS2: DGTS 7:0_22:5","DGTS",2.8737851834061
16509,7.15,1042.79053,"no MS2: TG 16:3_18:5_32:9","TG",2.86873925317473
5991,1.226,415.15311,"Unknown","null",2.86777853190783
16229,1.341,1014.30182,"Unknown","null",2.85327048473736
15790,1.341,971.59808,"no MS2: DGDG O-10:0_28:7","EtherDGDG",2.82458188415738
14324,6.331,858.61243,"no MS2: MGDG 19:2_22:6","MGDG",2.77479639653476
16810,1.052,1075.73462,"no MS2: PI 50:5","PI",2.75760548410326
8616,9.47,557.09692,"Unknown","null",2.75360534147462
667,5.722,137.07095,"1-Methylnicotinamide","Nicotinamides",2.65929874343054
15297,1.081,926.39069,"Unknown","null",2.63390527545907
7372,8.283,490.81802,"Unknown","null",2.63261408498688
11170,1.33,694.16711,"Unknown","null",2.61854265844003
17380,1.091,1156.45752,"Unknown","null",2.60045533101559
17084,1.063,1112.10181,"Unknown","null",2.57496364568667
3492,1.365,283.34549,"Unknown","null",2.57483430447009
15898,1.05,980.67554,"no MS2: DGDG O-11:0_28:7","EtherDGDG",2.57108179071311
14521,1.342,871.39478,"Unknown","null",2.55420063848008
15956,1.332,986.17407,"Unknown","null",2.55179001959235
3013,6.202,257.22791,"Unknown","null",2.54637914984348
17589,1.346,1188.05066,"no MS2: SM 38:1;2O(FA 30:3)","ASM",2.54520409221157
16816,1.344,1076.49573,"Unknown","null",2.52538022091979
11583,1.114,712.89337,"Unknown","null",2.50845170973141
15435,1.263,938.61517,"no MS2: DGDG O-8:0_28:7","EtherDGDG",2.50785077683033
12219,1.138,745.30798,"Unknown","null",2.49594006769783
16263,1.353,1017.92267,"Unknown","null",2.47143913493707
8659,9.47,560.09937,"Unknown","null",2.47115698627479
9691,1.11,617.1925,"Unknown","null",2.46295771510849
16024,1.134,992.93201,"no MS2: DGTS 25:0_27:0","DGTS",2.46206914785425
8954,9.47,577.12695,"Unknown","null",2.46202237958497
17638,1.143,1196.47827,"Unknown","null",2.46032850880509
3532,3.713,286.20151,"low score: CAR 8:1","CAR",2.45469472769545
17133,1.109,1118.10681,"Unknown","null",2.45348509219632
3804,1.364,302.10101,"Unknown","null",2.4466234767703
5118,2.181,370.29382,"low score: CAR 14:1","CAR",2.44213307427338
16467,1.102,1039.46106,"Unknown","null",2.43284627854557
17201,0.844,1128.30591,"Unknown","null",2.42089085708236
15211,1.105,919.39246,"Unknown","null",2.41287996810335
15669,1.331,959.98682,"Unknown","null",2.40854003509656
16551,1.352,1046.51208,"Unknown","null",2.40168767662557
17131,1.089,1117.77368,"no MS2: SM 64:15;2O","SM",2.39850116363147
17541,1.117,1181.13831,"no MS2: Cer 36:2;3O/42:2;(2OH)","Cer_AP",2.3960946278393
15234,1.342,921.40967,"Unknown","null",2.37709637483661
7903,4.426,513.82184,"Unknown","null",2.37012681133171
17477,1.097,1171.13098,"no MS2: TG 8:0_27:0_38:2","TG",2.36870900152505
17535,1.068,1180.47498,"Unknown","null",2.36073612949728
17021,1.132,1103.7561,"no MS2: PI 52:5","PI",2.35892371830524
17226,1.11,1132.44092,"Unknown","null",2.34693303787478
13210,7.552,799.17828,"Unknown","null",2.34490300489831
16638,1.205,1054.96521,"no MS2: TG 8:0_19:0_38:4","TG",2.3429851062569
13382,1.318,807.5686,"no MS2: TG 8:0_18:5_22:6","TG",2.34176604247017
17200,1.234,1128.26575,"Unknown","null",2.32798910132878
8447,7.209,547.20032,"Unknown","null",2.32435523083834
12167,1.303,742.03015,"Unknown","null",2.32226525860889
17259,1.096,1137.11194,"no MS2: Cer 33:3;3O/42:2;(2OH)","Cer_AP",2.31856454780552
16369,1.158,1029.19861,"Unknown","null",2.31743300874511
13655,1.343,822.15686,"Unknown","null",2.31564581238585
15465,1.122,941.40186,"Unknown","null",2.3030089715422
13141,1.158,794.95117,"Unknown","null",2.3022296145895
11270,1.23,699.65088,"Unknown","null",2.29558233505187
17568,1.102,1185.4718,"Unknown","null",2.28930060080528
17631,1.112,1195.48206,"Unknown","null",2.28286954011725
13515,1.172,815.36121,"Unknown","null",2.28152095837801
15424,1.136,937.8952,"Unknown","null",2.28010070692457
16209,1.344,1011.87396,"no MS2: SM 33:1;2O(FA 22:0)","ASM",2.27580006027363
9216,4.545,589.30078,"Unknown","null",2.27504179700286
16231,1.356,1014.45282,"Unknown","null",2.27453369162814
13455,1.142,812.16101,"Unknown","null",2.27297355421569
14725,1.139,883.6051,"no MS2: ST 24:1;O4;T/26:6","TDCAE",2.27217886626213
16733,1.338,1065.68372,"no MS2: DGDG O-17:2_28:7","EtherDGDG",2.26437038526834
14626,1.33,877.10248,"Unknown","null",2.26423570754727
14888,1.253,895.63354,"no MS2: SM 48:11;3O","SM",2.26199894542354
16598,1.172,1050.96082,"no MS2: Cer 28:0;2O/44:11","Cer_NDS",2.25839659823269
16392,1.332,1031.38184,"Unknown","null",2.2582757117018
15747,1.345,967.46033,"Unknown","null",2.25561159223417
16230,1.145,1014.44269,"Unknown","null",2.25156828225477
15988,1.329,989.41748,"Unknown","null",2.24483274145177
12957,1.164,786.05603,"Unknown","null",2.23640788107658
12537,1.155,762.92975,"Unknown","null",2.2314087440392
13647,1.33,821.78821,"no MS2: NAGly 23:0/26:1","NAGly",2.22732950675267
17019,1.104,1103.42822,"Unknown","null",2.22273583104154
15882,1.347,979.48376,"Unknown","null",2.22086879095866
13687,1.174,824.16412,"Unknown","null",2.21949706577766
16017,1.13,992.42181,"Unknown","null",2.2101681824197
16721,1.104,1064.39209,"Unknown","null",2.21012407458561
16786,1.202,1073.23071,"Unknown","null",2.2100332841035
682,4.328,137.16446,"Unknown","null",2.20679585534556
15071,1.1,908.37415,"Unknown","null",2.20671124771283
13190,1.336,798.14276,"Unknown","null",2.20568136424985
17280,1.352,1139.49268,"Unknown","null",2.20357151340362
15784,1.195,971.1582,"Unknown","null",2.20274102996857
15715,6.34,964.52777,"Unknown","null",2.20185011253479
15196,1.244,918.02386,"Unknown","null",2.19816313106735
9911,6.356,628.68939,"Unknown","null",2.19457343942973
17161,1.084,1122.09424,"Unknown","null",2.19048086661525
16569,1.225,1047.95886,"no MS2: TG 8:0_18:1_38:2","TG",2.18862101409992
16520,1.2,1043.95605,"no MS2: SM 57:0;3O","SM",2.18771884415247
12275,1.112,747.92017,"Unknown","null",2.18526972132501
13749,1.206,827.1687,"Unknown","null",2.18480973619946
17544,1.123,1181.47229,"Unknown","null",2.18293423629832
12791,1.125,777.14105,"Unknown","null",2.18159705019515
15061,1.343,907.21204,"Unknown","null",2.18113745603326
15419,1.086,937.39801,"Unknown","null",2.17897759361791
15222,1.323,920.37335,"Unknown","null",2.17805402018244
17599,1.087,1190.14807,"Unknown","null",2.17746665466076
10343,1.39,652.41125,"no MS2: MGDG 4:0_22:6","MGDG",2.17581131664989
13631,1.136,820.96375,"Unknown","null",2.17566709085361
13709,1.199,825.06268,"Unknown","null",2.17450380082396
14362,1.129,861.33838,"Unknown","null",2.17247847759163
16192,1.168,1010.93396,"no MS2: Cer 25:0;2O/44:10","Cer_NDS",2.17185122903789
16205,1.243,1011.7182,"no MS2: SM 56:12;2O","SM",2.17110419866105
13918,1.194,835.97388,"Unknown","null",2.17003949957053
