"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
7904,4.954,513.83575,"Unknown","null",5.65181302586679
7993,1.039,519.41461,"no MS2: VAE 16:3","VAE",4.93747658801077
14888,1.253,895.63354,"no MS2: SM 48:11;3O","SM",4.47843081568437
10595,9.153,665.19177,"Unknown","null",4.44676545018867
12957,1.164,786.05603,"Unknown","null",4.32549020936421
13647,1.33,821.78821,"no MS2: NAGly 23:0/26:1","NAGly",4.27717917331468
682,4.328,137.16446,"Unknown","null",4.21580818482372
7903,4.426,513.82184,"Unknown","null",4.08623619162289
10008,7.157,634.89648,"Unknown","null",4.06284642859651
13382,1.318,807.5686,"no MS2: TG 8:0_18:5_22:6","TG",3.93231512070971
3439,1.34,280.0802,"Unknown","null",3.9060710916141
7896,4.674,513.8186,"Unknown","null",3.82419112475156
8903,4.691,573.84863,"Unknown","null",3.81283238838791
15435,1.263,938.61517,"no MS2: DGDG O-8:0_28:7","EtherDGDG",3.77205218948839
8015,5.022,520.57001,"Unknown","null",3.67358234518258
14790,1.33,888.63092,"no MS2: HBMP 12:0_12:0_18:3","HBMP",3.65693042348353
8014,4.878,520.5694,"Unknown","null",3.6527897146023
8137,4.782,527.84003,"Unknown","null",3.64160644001982
17589,1.346,1188.05066,"no MS2: SM 38:1;2O(FA 30:3)","ASM",3.63096844907612
16937,1.337,1092.28064,"Unknown","null",3.62972701353621
10499,1.107,660.48621,"no MS2: DGTS 7:0_22:5","DGTS",3.60437175807965
8139,4.67,527.84381,"Unknown","null",3.57441961977398
7503,9.18,494.81268,"Unknown","null",3.51883003130077
5991,1.226,415.15311,"Unknown","null",3.50175387012448
7890,4.772,513.81738,"Unknown","null",3.47888525162038
17657,1.329,1199.79749,"Unknown","null",3.46751076600903
13131,1.28,794.5603,"no MS2: HexCer 8:1;2O/34:9","HexCer_NS",3.45575553257068
7428,4.836,492.81821,"Unknown","null",3.44927660122148
7499,4.878,494.81232,"Unknown","null",3.44331146107434
14324,6.331,858.61243,"no MS2: MGDG 19:2_22:6","MGDG",3.42747426431038
16971,1.35,1096.03088,"no MS2: TG 8:0_21:0_38:0","TG",3.41834231495297
8036,4.837,521.76923,"Unknown","null",3.40225670432766
3014,6.625,257.30954,"Unknown","null",3.38343229314732
5001,4.778,363.78323,"Unknown","null",3.37080405601349
5741,4.831,404.81619,"Unknown","null",3.33279432551288
8954,9.47,577.12695,"Unknown","null",3.3302281306942
15790,1.341,971.59808,"no MS2: DGDG O-10:0_28:7","EtherDGDG",3.3291865984801
11221,1.35,697.28113,"Unknown","null",3.32511949580437
15060,1.346,907.0224,"Unknown","null",3.30716537990197
14692,9.091,881.35742,"Unknown","null",3.3037194377563
16229,1.341,1014.30182,"Unknown","null",3.28063676690531
341,6.627,118.33744,"Unknown","null",3.2614923657206
6746,4.863,453.78128,"Unknown","null",3.25460323407786
15259,1.055,923.61676,"no MS2: DGDG O-8:0_26:3","EtherDGDG",3.24902050358202
8226,1.03,533.39978,"no MS2: SL 10:0;O/18:2","SL",3.24061601245761
9911,6.356,628.68939,"Unknown","null",3.24058692969816
16382,1.343,1030.64661,"no MS2: DGDG 20:4_22:6","DGDG",3.20737506410947
1877,4.177,192.15953,"Unknown","null",3.19038594410056
7889,4.88,513.81714,"Unknown","null",3.18833315101968
9525,9.095,607.19434,"Unknown","null",3.17095520152838
7374,4.89,490.81979,"Unknown","null",3.12611219003816
15369,6.381,932.58594,"no MS2: DGDG O-18:5_18:5","EtherDGDG",3.12038479785734
5004,4.867,363.78943,"Unknown","null",3.11959429268526
7506,9.036,494.8129,"Unknown","null",3.11060388840067
10114,6.485,640.36908,"Unknown","null",3.09847358235367
7036,4.848,470.81171,"Unknown","null",3.09112670979198
7052,9.215,470.81369,"Unknown","null",3.08960522525142
5514,4.796,392.79071,"Unknown","null",3.0763207974915
7857,4.797,511.82504,"Unknown","null",3.07360961128304
7520,9.345,494.81509,"Unknown","null",3.06538367703003
9022,1.184,580.23254,"no MS2: PS 20:5","PS",3.0642228420373
8273,5.126,535.8396,"Unknown","null",3.04811088131123
7377,4.658,490.82547,"Unknown","null",3.03710532902725
15234,1.342,921.40967,"Unknown","null",3.03512327588072
13073,9.093,791.33508,"Unknown","null",3.01534689060323
16509,7.15,1042.79053,"no MS2: TG 16:3_18:5_32:9","TG",2.97964483566926
3559,4.769,287.88797,"Unknown","null",2.97823786133059
3876,9.183,303.88495,"Unknown","null",2.9664107416138
7853,4.651,511.82452,"Unknown","null",2.96479064528709
7339,4.752,488.82339,"Unknown","null",2.96319608918133
9984,1.299,633.44659,"no MS2: DG 36:7","DG",2.95785032867817
7575,4.894,496.81247,"Unknown","null",2.94951728381173
2137,1.034,207.30467,"Unknown","null",2.94762926013953
9679,6.543,616.36884,"no MS2: DGDG O-8:0_4:0","EtherDGDG",2.94744220935316
15617,9.093,955.33209,"Unknown","null",2.94409680223626
7574,4.899,496.73773,"Unknown","null",2.92881893569245
17166,1.33,1123.23633,"Unknown","null",2.92367901858132
343,6.627,118.87651,"Unknown","null",2.91752995004002
8269,4.789,535.8374,"Unknown","null",2.91247831465702
8616,9.47,557.09692,"Unknown","null",2.89631848623426
13565,6.391,817.64734,"no MS2: SL 23:0;O/26:7","SL",2.88143967393486
11801,1.339,722.46881,"no MS2: SHexCer 14:0;2O/16:2","SHexCer",2.87241336850795
7419,4.933,492.8165,"Unknown","null",2.85919658284688
11595,1.198,713.47168,"no MS2: SM 34:7;2O","SM",2.84583055057833
15411,1.343,936.43762,"Unknown","null",2.84237528645491
3492,1.365,283.34549,"Unknown","null",2.83555488726916
8876,4.827,571.85437,"Unknown","null",2.83351661001049
17469,0.991,1169.14307,"no MS2: Cer 35:1;3O/42:2;(2OH)","Cer_AP",2.83038147403402
13798,1.335,829.5434,"no MS2: DGDG O-8:0_19:1","EtherDGDG",2.82411754295996
16163,1.295,1007.7196,"no MS2: DGDG O-12:0_28:3","EtherDGDG",2.81391338847994
15564,1.341,950.271,"Unknown","null",2.79923581731427
5837,4.853,408.78479,"Unknown","null",2.79843173197862
7370,5.013,490.81656,"Unknown","null",2.79516044033762
15898,1.05,980.67554,"no MS2: DGDG O-11:0_28:7","EtherDGDG",2.79321857435131
4918,4.769,359.81476,"Unknown","null",2.79259855742882
8659,9.47,560.09937,"Unknown","null",2.79178057623499
14109,1.327,845.78735,"no MS2: SL 24:0;O/26:0","SL",2.78922736998444
8441,6.366,546.73242,"Unknown","null",2.78914749264014
3735,6.58,298.16534,"Unknown","null",2.78868474933237
15715,6.34,964.52777,"Unknown","null",2.78747635709127
16282,1.344,1019.91766,"no MS2: TG 8:0_16:1_38:2","TG",2.78181199514994
16810,1.052,1075.73462,"no MS2: PI 50:5","PI",2.78103179871743
6667,4.798,449.82208,"Unknown","null",2.77311257693331
14453,7.55,867.15466,"Unknown","null",2.77214566312438
