"Dataset","Analysis","Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
"Lip_Neg","all",2082,10.003,790.59961,"PC O-34:1|PC O-18:1_16:0","EtherPC",0.686925284977201,-0.541774905385076,3.52907644466909e-06,0.00112577538584944,1.85459703695012
"Lip_Neg","all",1986,9.956,764.58301,"PC O-32:0|PC O-16:0_16:0","EtherPC",0.664435770206911,-0.589798351341747,2.39886453494964e-05,0.00255079262216312,1.87946239007304
"Lip_Neg","all",2342,11.887,854.67224,"HexCer 42:2;O2","HexCer_NDS",0.40929118204149,-1.28880050986071,1.23889726135484e-05,0.00255079262216312,2.87176466826275
"Lip_Neg","all",2506,8.778,906.617,"Hex2Cer 34:1;O2","Hex2Cer",0.639202652942634,-0.645654698856704,1.65678571463393e-05,0.00255079262216312,2.03809024367817
"Lip_Neg","all",2620,8.783,974.60883,"no MS2: PI-Cer 48:9;O3|PI-Cer 22:3;O2/26:6;O","PI_Cer",0.610744621828437,-0.711358840603763,2.21022504281889e-05,0.00255079262216312,2.02624252660762
"Lip_Neg","all",2723,8.697,1068.67151,"low score: Hex3Cer 34:1;O2","Hex3Cer",0.668990226341664,-0.579942961018252,3.86185913087123e-05,0.00351980875070835,1.67839360673784
"Lip_Neg","all",2373,8.779,860.61072,"HexCer 44:6;O4","HexCer_EOS",0.622784812240869,-0.683194332827432,5.96115328849284e-05,0.0040093836906948,1.8752177568576
"Lip_Neg","all",2672,8.773,1019.51587,"low score: DLCL 44:12|DLCL 22:6_22:6","DLCL",0.846083703606265,-0.241127697731152,5.2754663800216e-05,0.0040093836906948,1.12777967198532
"Lip_Neg","all",2733,8.772,1087.50208,"low score: MLCL 48:13|MLCL 15:4_15:4_18:5","MLCL",0.84592490098652,-0.241398504572247,6.28430045563449e-05,0.0040093836906948,1.13550504452411
"Lip_Neg","all",2461,8.772,883.54089,"PI 38:5","PI",0.881685122277745,-0.181664579281769,0.000123603019174265,0.00536329786904957,0.92671877656465
"Lip_Neg","all",2589,8.772,951.52783,"DLCL 38:4","DLCL",0.869701207849814,-0.201408257136073,0.000109426803147185,0.00536329786904957,0.998716273323353
"Lip_Neg","all",2531,12.923,922.69562,"PC O-44:5|PC O-24:1_20:4","EtherPC",0.655478692480964,-0.60937921108667,0.000176421935341791,0.0060361611195278,1.68584858151407
"Lip_Neg","all",2029,9.433,778.56177,"PC 32:0|PC 16:0_16:0","PC",0.865159777243263,-0.208961501386582,0.00019902394620082,0.00621224729878239,1.00941892801301
"Lip_Neg","all",2358,11.62,857.67609,"SM 42:2;O2|SM 18:1;O2/24:1","SM",0.536148555242711,-0.899295299022423,0.000220085802481133,0.00621224729878239,2.42967244500015
"Lip_Neg","all",2273,9.081,831.58765,"no MS2: NAGlySer 46:10;O2|NAGlySer 24:5;O(FA 22:4)","NAGlySer",0.70943658601303,-0.495254362163553,0.000248773086397342,0.00634868916486018,1.50783218369801
"Lip_Neg","all",2351,13.079,856.68842,"CL 90:1|CL 24:0_24:0_24:0_18:1","CL",0.737226558054652,-0.439820050935021,0.000244431542566338,0.00634868916486018,1.48304886002918
"Lip_Neg","all",2189,8.772,815.55298,"low score: PG 38:3;O|PG 18:0_20:3;O","OxPG",0.894615576170735,-0.160660217532278,0.000275989857074478,0.00677236649282757,0.84145341655468
"Lip_Neg","all",2504,8.372,904.60254,"no MS2: Hex2Cer 34:2;O2","Hex2Cer",0.650616175660832,-0.62012140368636,0.000287367798780331,0.00679039465266115,1.686139642169
"Lip_Neg","all",2542,11.539,925.6662,"PEtOH 51:8","PEtOH",0.642152280751459,-0.639012634559153,0.000398037226762999,0.00906956252409977,1.84538684368422
"Lip_Neg","all",1913,8.899,744.56604,"low score: HexCer 34:1;O2|HexCer 21:0;O2/13:1","HexCer_NDS",0.756829316851553,-0.401960120299435,0.000495045168215259,0.00949193504848724,1.39099611257938
"Lip_Neg","all",1917,8.915,745.56659,"no MS2: NAGlySer 39:4;O2|NAGlySer 13:1;O(FA 26:2)","NAGlySer",0.756744005850057,-0.402122752339887,0.000487803403276144,0.00949193504848724,1.28613229551453
"Lip_Neg","all",2513,8.271,913.58606,"low score: PI 40:4|PI 25:1_15:3","PI",0.701678646062598,-0.511117636834367,0.000505839798822204,0.00949193504848724,1.51336654720903
"Lip_Neg","all",2567,7.252,929.58557,"low score: PI 40:4;O|PI 22:3_18:1;O","OxPI",0.761378304493292,-0.393314634057164,0.000465829274038533,0.00949193504848724,1.30793704013985
"Lip_Neg","all",1967,9.88,762.56482,"PC O-32:1|PC O-14:1_18:0","EtherPC",0.651325047588884,-0.61855038635006,0.00054289039470409,0.00989611633774885,1.76166745740854
"Lip_Neg","all",1491,9.028,598.50598,"Cer 34:1;O3","Cer_NP",0.835013626320296,-0.260128354229638,0.000697529122811323,0.012361766120934,1.16136346898228
"Lip_Neg","all",2708,11.54,1061.6449,"low score: DGDG 42:8|DGDG 21:4_21:4","DGDG",0.657820586739957,-0.604233936329589,0.000767404034719846,0.0132325344365206,1.63121954993607
"Lip_Neg","all",849,3.599,448.30664,"BA 24:1;O3;G","BileAcid",0.503796462447064,-0.989087103081179,0.00088195560468426,0.0143937092573522,2.1458311516646
"Lip_Neg","all",2200,8.418,818.55664,"PC 34:2;O|PC 18:2_16:0;O","OxPC",0.714620981252985,-0.484749822854367,0.000902426912686659,0.0143937092573522,1.43936517714543
"Lip_Neg","all",1966,8.995,762.50757,"PE 38:6|PE 16:0_22:6","PE",1.43118100290954,0.517206142705016,0.00119987741296528,0.0166721078688339,1.6635564969834
"Lip_Neg","all",2294,9.412,838.59875,"PC O-38:5|PC O-18:1_20:4","EtherPC",0.866145196807065,-0.207319202551055,0.00122487740083002,0.0166721078688339,0.884765040149659
"Lip_Neg","all",2348,10.486,855.65942,"SM 42:3;O2|SM 16:3;O2/26:0","SM",0.864580118483584,-0.209928433873216,0.00118839682626924,0.0166721078688339,0.943594494193418
"Lip_Neg","all",2359,11.538,857.67773,"SM 42:2;O2|SM 23:1;O2/19:1","SM",0.827035078671137,-0.273979572320787,0.00119116576327385,0.0166721078688339,1.25526948125555
"Lip_Neg","all",2480,12.944,896.67804,"no MS2: PC O-42:4|PC O-18:3_24:1","EtherPC",0.667340684558774,-0.583504634162525,0.00121421879345923,0.0166721078688339,1.56403742559333
"Lip_Neg","all",1800,9.436,718.53851,"DMPE 32:0|DMPE 16:0_16:0","DMPE",0.81354802491574,-0.297700582102367,0.00155143874324584,0.0184899759091691,1.17215626925078
"Lip_Neg","all",2350,10.044,856.6073,"PC 38:3|PC 18:0_20:3","PC",1.35454680449795,0.437810244739975,0.00153270379595229,0.0184899759091691,1.35783624160415
"Lip_Neg","all",2464,8.984,885.55133,"PI 38:4|PI 18:0_20:4","PI",1.115170348163,0.157264106269729,0.00156498228698297,0.0184899759091691,0.755082896584901
"Lip_Neg","all",2572,9.017,938.53687,"low score: PC 40:8;O4|PC 22:5_18:3;O4","OxPC",0.881015300693212,-0.182761020074778,0.00147355175222735,0.0184899759091691,0.889027788621434
"Lip_Neg","all",2814,8.276,1191.76941,"RIKEN N-VS1 ID-8792 from Mouse_Macrophage_WT_N_F1AA","Unknown",0.783563950044675,-0.351877070799169,0.00148043769295783,0.0184899759091691,1.15431523716745
"Lip_Neg","all",2478,9.074,896.5639,"low score: SHexCer 42:6;O3","SHexCer",0.792611273492926,-0.33531460765127,0.00171737775281717,0.0199215819326792,1.20666500971732
"Lip_Neg","all",2080,9.723,790.54199,"PE 40:6|PE 18:0_22:6","PE",1.44107167153172,0.527142089566823,0.00178083198039843,0.0202887643481107,1.56307226817805
"Lip_Neg","all",2602,9.079,964.55389,"low score: PC 42:9;O4|PC 22:6_20:3;O4","OxPC",0.783673033807797,-0.351676240157763,0.00201547006773899,0.0217944051392793,1.24965127736227
"Lip_Neg","all",2627,7.532,985.60718,"no MS2: DLCL 40:1|DLCL 10:0_30:1","DLCL",0.755800976217626,-0.403921712855487,0.00200176207998078,0.0217944051392793,1.22666887525254
"Lip_Neg","all",2310,10.862,843.66064,"SM 41:2;O2","SM",0.754491476358581,-0.406423492458353,0.00214672409152963,0.0224526224655066,1.16299673840749
"Lip_Neg","all",2184,9.426,814.59656,"PC O-36:3|PC O-18:1_18:2","EtherPC",0.772627099953942,-0.372155813792423,0.00221055677233082,0.022747342270114,1.2004040053659
"Lip_Neg","all",2533,10.514,923.64752,"low score: DGDG O-32:0|DGDG O-26:0_6:0","EtherDGDG",0.688080172775238,-0.539351422217912,0.00273154861992327,0.0272301253048601,1.51608353024128
"Lip_Neg","all",2234,9.215,828.57666,"PC 36:3|PC 16:0_20:3","PC",1.27763167228157,0.353471982480748,0.0031422480009841,0.0304697930561593,1.13309404871246
"Lip_Neg","all",2514,7.607,913.58783,"low score: SMGDG 40:4|SMGDG 20:2_20:2","SMGDG",0.841927638729703,-0.248231851776115,0.00315204755753372,0.0304697930561593,0.979909249610695
"Lip_Neg","all",1106,5.405,512.29913,"LPC 14:0","LPC",1.26601641176333,0.340296106990657,0.00355436563182517,0.031494124246111,1.31494791587552
"Lip_Neg","all",1891,8.766,738.5116,"PE 36:4|PE 18:2_18:2","PE",0.623815107314615,-0.680809603117972,0.0036404485998926,0.031494124246111,1.94548238268807
